Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key,role_clean,runs,balls,matches_batted,strike_rate,runs_per_match,rpr_batting
Faf Du Plessis,,Batsman,Chennai Super Kings,2014,"4,75,00,000",,,,,47500000,4.75,f_plessis,batter,4571,3435,138,133.1,33.12,6.9726
Dwayne Smith,,Batsman,Chennai Super Kings,2014,"4,50,00,000",,,,,45000000,4.5,d_smith,batter,2385,1803,88,132.3,27.1,6.0222
Brendon McCullum,,Wicket Keeper,Chennai Super Kings,2014,"3,25,00,000",,,,,32500000,3.25,b_mccullum,batter,2882,2272,109,126.8,26.44,8.1354
Mithun Manhas,,All-Rounder,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,m_manhas,allrounder,514,486,38,105.8,13.53,45.1
Vijay Shankar,,All-Rounder,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,v_shankar,allrounder,1115,890,58,125.3,19.22,192.2
Kevin Pietersen,,Batsman,Delhi Daredevils,2014,"9,00,00,000",,,,,90000000,9.0,k_pietersen,batter,1001,758,36,132.1,27.81,3.09
Murali Vijay,,Batsman,Delhi Daredevils,2014,"5,00,00,000",,,,,50000000,5.0,m_vijay,batter,2619,2208,105,118.6,24.94,4.988
Quinton De Kock,,Wicket Keeper,Delhi Daredevils,2014,"3,50,00,000",,,,,35000000,3.5,q_kock,batter,3160,2410,107,131.1,29.53,8.4371
Manoj Tiwary,,Batsman,Delhi Daredevils,2014,"2,80,00,000",,,,,28000000,2.8,m_tiwary,batter,1695,1489,83,113.8,20.42,7.2929
Jean-Paul Duminy,,Batsman,Delhi Daredevils,2014,"2,20,00,000",,,,,22000000,2.2,j_duminy,batter,2029,1680,75,120.8,27.05,12.2955
Kedar Jadhav,,Batsman,Delhi Daredevils,2014,"2,00,00,000",,,,,20000000,2.0,k_jadhav,batter,1208,1012,81,119.4,14.91,7.455
Mayank Agarwal,,Batsman,Delhi Daredevils,2014,"1,60,00,000",,,,,16000000,1.6,m_agarwal,batter,2669,2081,121,128.3,22.06,13.7875
Laxmi Ratan Shukla,,All-Rounder,Delhi Daredevils,2014,"1,50,00,000",,,,,15000000,1.5,l_shukla,allrounder,405,358,33,113.1,12.27,8.18
James Neesham,,All-Rounder,Delhi Daredevils,2014,"1,00,00,000",,,,,10000000,1.0,j_neesham,allrounder,92,93,10,98.9,9.2,9.2
Saurabh Tiwary,,Batsman,Delhi Daredevils,2014,"70,00,000",,,,,7000000,0.7,s_tiwary,batter,1494,1291,73,115.7,20.47,29.2429
Jayant Yadav,,All-Rounder,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,j_yadav,allrounder,40,38,4,105.3,10.0,100.0
Milind Kumar,,Batsman,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,m_kumar,batter,10,20,5,50.0,2.0,20.0
Mitchell Johnson,,All-Rounder,Kings XI Punjab,2014,"6,50,00,000",,,,,65000000,6.5,m_johnson,allrounder,167,168,28,99.4,5.96,0.9169
Glenn Maxwell,,All-Rounder,Kings XI Punjab,2014,"6,00,00,000",,,,,60000000,6.0,g_maxwell,allrounder,2772,1842,128,150.5,21.66,3.61
George Bailey,,Batsman,Kings XI Punjab,2014,"3,25,00,000",,,,,32500000,3.25,g_bailey,batter,663,552,36,120.1,18.42,5.6677
Virender Sehwag,,Batsman,Kings XI Punjab,2014,"3,20,00,000",,,,,32000000,3.2,v_sehwag,batter,2728,1833,104,148.8,26.23,8.1969
Rishi Dhawan,,All-Rounder,Kings XI Punjab,2014,"3,00,00,000",,,,,30000000,3.0,r_dhawan,allrounder,210,188,22,111.7,9.55,3.1833
Wriddhiman Saha,,Wicket Keeper,Kings XI Punjab,2014,"2,20,00,000",,,,,22000000,2.2,w_saha,batter,2934,2368,143,123.9,20.52,9.3273
Shaun Marsh,,Batsman,Kings XI Punjab,2014,"2,20,00,000",,,,,22000000,2.2,s_marsh,batter,2489,1913,69,130.1,36.07,16.3955
Cheteshwar Pujara,,Batsman,Kings XI Punjab,2014,"1,90,00,000",,,,,19000000,1.9,c_pujara,batter,390,403,22,96.8,17.73,9.3316
Mandeep Hardev Singh,,All-Rounder,Kings XI Punjab,2014,"80,00,000",,,,,8000000,0.8,m_singh,allrounder,1706,1418,97,120.3,17.59,21.9875
Akshar Rajesh Patel,,All-Rounder,Kings XI Punjab,2014,"75,00,000",,,,,7500000,0.75,a_patel,allrounder,1653,1318,112,125.4,14.76,19.68
Karanveer Singh,,All-Rounder,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,k_singh,allrounder,12,17,4,70.6,3.0,30.0
Jacques Kallis,,All-Rounder,Kolkata Knight Riders,2014,"5,50,00,000",,,,,55000000,5.5,j_kallis,allrounder,2427,2291,95,105.9,25.55,4.6455
Robin Uthappa,,Batsman,Kolkata Knight Riders,2014,"5,00,00,000",,,,,50000000,5.0,r_uthappa,batter,4954,3927,197,126.2,25.15,5.03
Yusuf Pathan,,All-Rounder,Kolkata Knight Riders,2014,"3,25,00,000",,,,,32500000,3.25,y_pathan,allrounder,3222,2334,153,138.0,21.06,6.48
Shakib Al Hasan,,All-Rounder,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,s_hasan,allrounder,795,665,52,119.5,15.29,5.4607
Manish Pandey,,Batsman,Kolkata Knight Riders,2014,"1,70,00,000",,,,,17000000,1.7,m_pandey,batter,3859,3288,158,117.4,24.42,14.3647
Chris Lynn,,Batsman,Kolkata Knight Riders,2014,"1,30,00,000",,,,,13000000,1.3,c_lynn,batter,1329,974,42,136.4,31.64,24.3385
Ryan Ten Doeschate,,All-Rounder,Kolkata Knight Riders,2014,"1,00,00,000",,,,,10000000,1.0,r_doeschate,allrounder,326,238,21,137.0,15.52,15.52
Suryakumar Yadav,,Batsman,Kolkata Knight Riders,2014,"70,00,000",,,,,7000000,0.7,s_yadav,batter,3594,2522,135,142.5,26.62,38.0286
Andre Russell,,All-Rounder,Kolkata Knight Riders,2014,"60,00,000",,,,,6000000,0.6,a_russell,allrounder,2488,1515,104,164.2,23.92,39.8667
Manvinder Bisla,,Wicket Keeper,Kolkata Knight Riders,2014,"60,00,000",,,,,6000000,0.6,m_bisla,batter,798,737,39,108.3,20.46,34.1
Debabrata Das,,Wicket Keeper,Kolkata Knight Riders,2014,"20,00,000",,,,,2000000,0.2,d_das,batter,304,267,22,113.9,13.82,69.1
Michael Hussey,,Batsman,Mumbai Indians,2014,"5,00,00,000",,,,,50000000,5.0,m_hussey,batter,1977,1648,58,120.0,34.09,6.818
Corey Anderson,,All-Rounder,Mumbai Indians,2014,"4,50,00,000",,,,,45000000,4.5,c_anderson,allrounder,538,436,29,123.4,18.55,4.1222
Aditya Tare,,Wicket Keeper,Mumbai Indians,2014,"1,60,00,000",,,,,16000000,1.6,a_tare,batter,339,285,27,118.9,12.56,7.85
Ben Dunk,,Wicket Keeper,Mumbai Indians,2014,"20,00,000",,,,,2000000,0.2,b_dunk,batter,40,36,3,111.1,13.33,66.65
C.M. Gautam,,Wicket Keeper,Mumbai Indians,2014,"20,00,000",,,,,2000000,0.2,c_gautam,batter,169,158,13,107.0,13.0,65.0
Steven Smith,,All-Rounder,Rajasthan Royals,2014,"4,00,00,000",,,,,40000000,4.0,s_smith,allrounder,2495,1999,93,124.8,26.83,6.7075
Brad Hodge,,Batsman,Rajasthan Royals,2014,"2,40,00,000",,,,,24000000,2.4,b_hodge,batter,1400,1153,63,121.4,22.22,9.2583
Rajat Bhatia,,All-Rounder,Rajasthan Royals,2014,"1,70,00,000",,,,,17000000,1.7,r_bhatia,allrounder,342,290,47,117.9,7.28,4.2824
Abhishek Nayar,,All-Rounder,Rajasthan Royals,2014,"1,00,00,000",,,,,10000000,1.0,a_nayar,allrounder,672,588,50,114.3,13.44,13.44
Karun Nair,,Batsman,Rajasthan Royals,2014,"75,00,000",,,,,7500000,0.75,k_nair,batter,1496,1192,68,125.5,22.0,29.3333
Unmukt Chand,,Batsman,Rajasthan Royals,2014,"65,00,000",,,,,6500000,0.65,u_chand,batter,300,314,20,95.5,15.0,23.0769
Dishant Yagnik,,Wicket Keeper,Rajasthan Royals,2014,"30,00,000",,,,,3000000,0.3,d_yagnik,batter,170,142,17,119.7,10.0,33.3333
Kevon Cooper,,All-Rounder,Rajasthan Royals,2014,"30,00,000",,,,,3000000,0.3,k_cooper,allrounder,116,70,12,165.7,9.67,32.2333
Rahul Tewatia,,All-Rounder,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,r_tewatia,allrounder,1013,788,65,128.6,15.58,155.8
Yuvraj Singh,,All-Rounder, Royal Challengers Bengaluru,2014,"14,00,00,000",,,,,140000000,14.0,y_singh,allrounder,47,67,4,70.1,11.75,0.8393
Yuvraj Singh,,All-Rounder, Royal Challengers Bengaluru,2014,"14,00,00,000",,,,,140000000,14.0,y_singh,allrounder,22,16,4,137.5,5.5,0.3929
Yuvraj Singh,,All-Rounder, Royal Challengers Bengaluru,2014,"14,00,00,000",,,,,140000000,14.0,y_singh,allrounder,2754,2207,126,124.8,21.86,1.5614
Parthiv Patel,,Wicket Keeper, Royal Challengers Bengaluru,2014,"1,40,00,000",,,,,14000000,1.4,p_patel,batter,2848,2442,136,116.6,20.94,14.9571
Nic Maddinson,,Batsman, Royal Challengers Bengaluru,2014,"50,00,000",,,,,5000000,0.5,n_maddinson,batter,20,21,3,95.2,6.67,13.34
Vijay Zol,,Batsman, Royal Challengers Bengaluru,2014,"30,00,000",,,,,3000000,0.3,v_zol,batter,29,26,2,111.5,14.5,48.3333
Yogesh Takawale,,Wicket Keeper, Royal Challengers Bengaluru,2014,"10,00,000",,,,,1000000,0.1,y_takawale,batter,192,183,10,104.9,19.2,192.0
David Warner,,Batsman, Sunrisers Hyderabad,2014,"5,50,00,000",,,,,55000000,5.5,d_warner,batter,6567,4849,184,135.4,35.69,6.4891
Aaron Finch,,Batsman, Sunrisers Hyderabad,2014,"4,00,00,000",,,,,40000000,4.0,a_finch,batter,2092,1696,90,123.3,23.24,5.81
Darren Sammy,,All-Rounder, Sunrisers Hyderabad,2014,"3,50,00,000",,,,,35000000,3.5,d_sammy,allrounder,295,251,20,117.5,14.75,4.2143
Irfan Pathan,,All-Rounder, Sunrisers Hyderabad,2014,"2,40,00,000",,,,,24000000,2.4,i_pathan,allrounder,1150,985,82,116.8,14.02,5.8417
Moises Henriques,,All-Rounder, Sunrisers Hyderabad,2014,"1,00,00,000",,,,,10000000,1.0,m_henriques,allrounder,1000,801,54,124.8,18.52,18.52
KL Rahul,,Batsman, Sunrisers Hyderabad,2014,"1,00,00,000",,,,,10000000,1.0,k_rahul,batter,4689,3578,122,131.1,38.43,38.43
Parveez Rasool,,All-Rounder, Sunrisers Hyderabad,2014,"95,00,000",,,,,9500000,0.95,p_rasool,allrounder,17,20,4,85.0,4.25,4.4737
Naman Ojha,,Wicket Keeper, Sunrisers Hyderabad,2014,"50,00,000",,,,,5000000,0.5,n_ojha,batter,1554,1360,94,114.3,16.53,33.06
Amit Paunikar,,Wicket Keeper, Sunrisers Hyderabad,2014,"20,00,000",,,,,2000000,0.2,a_paunikar,batter,49,61,5,80.3,9.8,49.0
Srikkanth Anirudha,,Batsman, Sunrisers Hyderabad,2014,"20,00,000",,,,,2000000,0.2,s_anirudha,batter,136,121,12,112.4,11.33,56.65
Ricky Bhui,,Batsman, Sunrisers Hyderabad,2014,"10,00,000",,,,,1000000,0.1,r_bhui,batter,10,27,4,37.0,2.5,25.0
Manprit Juneja,,Batsman, Sunrisers Hyderabad,2014,"10,00,000",,,,,1000000,0.1,m_juneja,batter,125,134,7,93.3,17.86,178.6
Michael Hussey,,Batsman,Chennai Super Kings,2015,"1,50,00,000",,,,,15000000,1.5,m_hussey,batter,1977,1648,58,120.0,34.09,22.7267
Irfan Pathan,,All-Rounder,Chennai Super Kings,2015,"1,50,00,000",,,,,15000000,1.5,i_pathan,allrounder,1150,985,82,116.8,14.02,9.3467
Pratyush Singh,,All-Rounder,Chennai Super Kings,2015,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,756,528,34,143.2,22.24,222.4
Pratyush Singh,,All-Rounder,Chennai Super Kings,2015,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,7,12,5,58.3,1.4,14.0
Eklavya Dwivedi,,Wicket Keeper,Chennai Super Kings,2015,"10,00,000",,,,,1000000,0.1,e_dwivedi,batter,24,15,2,160.0,12.0,120.0
Yuvraj Singh,,Batsman,Delhi Daredevils,2015,"16,00,00,000",,,,,160000000,16.0,y_singh,batter,47,67,4,70.1,11.75,0.7344
Yuvraj Singh,,Batsman,Delhi Daredevils,2015,"16,00,00,000",,,,,160000000,16.0,y_singh,batter,22,16,4,137.5,5.5,0.3438
Yuvraj Singh,,Batsman,Delhi Daredevils,2015,"16,00,00,000",,,,,160000000,16.0,y_singh,batter,2754,2207,126,124.8,21.86,1.3662
Angelo Mathews,,All-Rounder,Delhi Daredevils,2015,"7,50,00,000",,,,,75000000,7.5,a_mathews,allrounder,724,599,41,120.9,17.66,2.3547
Shreyas Iyer,,Batsman,Delhi Daredevils,2015,"2,60,00,000",,,,,26000000,2.6,s_iyer,batter,3131,2545,114,123.0,27.46,10.5615
Travis Head,,Batsman,Delhi Daredevils,2015,"30,00,000",,,,,3000000,0.3,t_head,batter,772,458,25,168.6,30.88,102.9333
Marcus Stoinis,,All-Rounder,Delhi Daredevils,2015,"25,00,000",,,,,2500000,0.25,m_stoinis,allrounder,1866,1366,88,136.6,21.2,84.8
C.M. Gautam,,Wicket Keeper,Delhi Daredevils,2015,"20,00,000",,,,,2000000,0.2,c_gautam,batter,169,158,13,107.0,13.0,65.0
Kona Srikar Bharat,,Wicket Keeper,Delhi Daredevils,2015,"10,00,000",,,,,1000000,0.1,k_bharat,batter,199,168,8,118.5,24.88,248.8
Murali Vijay,,Batsman,Kings XI Punjab,2015,"3,00,00,000",,,,,30000000,3.0,m_vijay,batter,2619,2208,105,118.6,24.94,8.3133
Nikhil Shankar Naik,,Wicket Keeper,Kings XI Punjab,2015,"30,00,000",,,,,3000000,0.3,n_naik,batter,31,53,4,58.5,7.75,25.8333
James Neesham,,All-Rounder,Kolkata Knight Riders,2015,"50,00,000",,,,,5000000,0.5,j_neesham,allrounder,92,93,10,98.9,9.2,18.4
Sheldon Jackson,,Batsman,Kolkata Knight Riders,2015,"15,00,000",,,,,1500000,0.15,s_jackson,batter,61,57,8,107.0,7.62,50.8
Sumit Narwal,,All-Rounder,Kolkata Knight Riders,2015,"10,00,000",,,,,1000000,0.1,s_narwal,allrounder,37,29,4,127.6,9.25,92.5
Aaron Finch,,Batsman,Mumbai Indians,2015,"3,20,00,000",,,,,32000000,3.2,a_finch,batter,2092,1696,90,123.3,23.24,7.2625
Aiden Blizzard,,Batsman,Mumbai Indians,2015,"30,00,000",,,,,3000000,0.3,a_blizzard,batter,120,91,7,131.9,17.14,57.1333
Hardik Pandya,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,h_pandya,allrounder,2534,1814,128,139.7,19.8,198.0
Nitish Rana,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,n_rana,allrounder,2636,2015,101,130.8,26.1,261.0
Siddhesh Dinesh Lad,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,s_lad,allrounder,15,13,1,115.4,15.0,150.0
Christopher Morris,,All-Rounder,Rajasthan Royals,2015,"1,40,00,000",,,,,14000000,1.4,c_morris,allrounder,618,413,49,149.6,12.61,9.0071
Dinesh Salunkhe,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,d_salunkhe,allrounder,33,24,3,137.5,11.0,110.0
Sagar Trivedi,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,s_trivedi,allrounder,42,61,14,68.9,3.0,30.0
Pardeep Sahu,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,p_sahu,allrounder,19,13,2,146.2,9.5,95.0
Darren Sammy,,All-Rounder, Royal Challengers Bengaluru,2015,"2,80,00,000",,,,,28000000,2.8,d_sammy,allrounder,295,251,20,117.5,14.75,5.2679
David Wiese,,All-Rounder, Royal Challengers Bengaluru,2015,"2,80,00,000",,,,,28000000,2.8,d_wiese,allrounder,148,105,11,141.0,13.45,4.8036
Sarfaraz Naushad Khan,,Batsman, Royal Challengers Bengaluru,2015,"50,00,000",,,,,5000000,0.5,s_khan,batter,585,456,36,128.3,16.25,32.5
Subramaniam Badrinath,,Batsman, Royal Challengers Bengaluru,2015,"30,00,000",,,,,3000000,0.3,s_badrinath,batter,1441,1245,65,115.7,22.17,73.9
Kevin Pietersen,,Batsman, Sunrisers Hyderabad,2015,"2,00,00,000",,,,,20000000,2.0,k_pietersen,batter,1001,758,36,132.1,27.81,13.905
Eoin Morgan,,Batsman, Sunrisers Hyderabad,2015,"1,50,00,000",,,,,15000000,1.5,e_morgan,batter,1406,1181,74,119.1,19.0,12.6667
Ravi Bopara,,All-Rounder, Sunrisers Hyderabad,2015,"1,00,00,000",,,,,10000000,1.0,r_bopara,allrounder,531,468,22,113.5,24.14,24.14
Kane Williamson,,All-Rounder, Sunrisers Hyderabad,2015,"60,00,000",,,,,6000000,0.6,k_williamson,allrounder,2132,1734,76,123.0,28.05,46.75
Laxmi Ratan Shukla,,All-Rounder, Sunrisers Hyderabad,2015,"30,00,000",,,,,3000000,0.3,l_shukla,allrounder,405,358,33,113.1,12.27,40.9
Pawan Negi,,All-Rounder,Delhi Daredevils,2016,"8,50,00,000",,,,,85000000,8.5,p_negi,allrounder,365,301,35,121.3,10.43,1.2271
Christopher Morris,,All-Rounder,Delhi Daredevils,2016,"7,00,00,000",,,,,70000000,7.0,c_morris,allrounder,618,413,49,149.6,12.61,1.8014
Sanju Samson,,Wicket Keeper,Delhi Daredevils,2016,"4,20,00,000",,,,,42000000,4.2,s_samson,batter,4419,3270,162,135.1,27.28,6.4952
Carlos Brathwaite,,All-Rounder,Delhi Daredevils,2016,"4,20,00,000",,,,,42000000,4.2,c_brathwaite,allrounder,181,120,14,150.8,12.93,3.0786
Karun Nair,,Batsman,Delhi Daredevils,2016,"4,00,00,000",,,,,40000000,4.0,k_nair,batter,1496,1192,68,125.5,22.0,5.5
Rishabh Pant,,Wicket Keeper,Delhi Daredevils,2016,"1,90,00,000",,,,,19000000,1.9,r_pant,batter,3297,2296,110,143.6,29.97,15.7737
Sam Billings,,Wicket Keeper,Delhi Daredevils,2016,"30,00,000",,,,,3000000,0.3,s_billings,batter,503,399,27,126.1,18.63,62.1
Pratyush Singh,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,756,528,34,143.2,22.24,222.4
Pratyush Singh,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,7,12,5,58.3,1.4,14.0
Mahipal Lomror,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,m_lomror,allrounder,527,389,35,135.5,15.06,150.6
Syed Khaleel Ahmed,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,s_ahmed,allrounder,536,467,37,114.8,14.49,144.9
Syed Khaleel Ahmed,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,s_ahmed,allrounder,1,6,3,16.7,0.33,3.3
Dwayne Smith,,All-Rounder,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_smith,allrounder,2385,1803,88,132.3,27.1,11.7826
Aaron Finch,,Batsman,Gujarat Lions,2016,"1,00,00,000",,,,,10000000,1.0,a_finch,batter,2092,1696,90,123.3,23.24,23.24
Eklavya Dwivedi,,Wicket Keeper,Gujarat Lions,2016,"1,00,00,000",,,,,10000000,1.0,e_dwivedi,batter,24,15,2,160.0,12.0,12.0
Andrew Tye,,All-Rounder,Gujarat Lions,2016,"50,00,000",,,,,5000000,0.5,a_tye,allrounder,91,79,13,115.2,7.0,14.0
Ishan Kishan,,Wicket Keeper,Gujarat Lions,2016,"35,00,000",,,,,3500000,0.35,i_kishan,batter,2644,1991,99,132.8,26.71,76.3143
Shadab Jakati,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,s_jakati,allrounder,28,30,5,93.3,5.6,28.0
Pradeep Sangwan,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,p_sangwan,allrounder,26,47,14,55.3,1.86,9.3
Akshdeep Nath,,All-Rounder,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,a_nath,allrounder,90,99,10,90.9,9.0,90.0
Paras Dogra,,Batsman,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,p_dogra,batter,127,141,12,90.1,10.58,105.8
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2016,"55,00,000",,,,,5500000,0.55,m_stoinis,allrounder,1866,1366,88,136.6,21.2,38.5455
Farhaan Behardien,,All-Rounder,Kings XI Punjab,2016,"30,00,000",,,,,3000000,0.3,f_behardien,allrounder,14,13,3,107.7,4.67,15.5667
Pardeep Sahu,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,p_sahu,allrounder,19,13,2,146.2,9.5,95.0
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,25,22,5,113.6,5.0,50.0
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,423,272,19,155.5,22.26,222.6
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,2,3,1,66.7,2.0,20.0
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,7,8,3,87.5,2.33,23.3
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,43,31,5,138.7,8.6,86.0
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,51,46,9,110.9,5.67,56.7
Jason Holder,,All-Rounder,Kolkata Knight Riders,2016,"70,00,000",,,,,7000000,0.7,j_holder,allrounder,259,217,27,119.4,9.59,13.7
