Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key,role_clean,runs,balls,matches_batted,strike_rate,runs_per_match,rpr_batting
Colin Munro,,All-Rounder,Kolkata Knight Riders,2016,"30,00,000",,,,,3000000,0.3,c_munro,allrounder,177,144,11,122.9,16.09,53.6333
Rajagopal Sathish,,All-Rounder,Kolkata Knight Riders,2016,"20,00,000",,,,,2000000,0.2,r_sathish,allrounder,270,236,24,114.4,11.25,56.25
Manan Ajay Sharma,,All-Rounder,Kolkata Knight Riders,2016,"10,00,000",,,,,1000000,0.1,m_sharma,allrounder,124,137,28,90.5,4.43,44.3
Jos Buttler,,Wicket Keeper,Mumbai Indians,2016,"3,80,00,000",,,,,38000000,3.8,j_buttler,batter,3583,2519,106,142.2,33.8,8.8947
Krunal Pandya,,All-Rounder,Mumbai Indians,2016,"2,00,00,000",,,,,20000000,2.0,k_pandya,allrounder,1647,1287,107,128.0,15.39,7.695
Jitesh Sharma,,Wicket Keeper,Mumbai Indians,2016,"10,00,000",,,,,1000000,0.1,j_sharma,batter,730,501,36,145.7,20.28,202.8
Jitesh Sharma,,Wicket Keeper,Mumbai Indians,2016,"10,00,000",,,,,1000000,0.1,j_sharma,batter,36,30,5,120.0,7.2,72.0
Mitchell Marsh,,All-Rounder,Rising Pune Supergiant,2016,"4,80,00,000",,,,,48000000,4.8,m_marsh,allrounder,665,532,36,125.0,18.47,3.8479
Kevin Pietersen,,Batsman,Rising Pune Supergiant,2016,"3,50,00,000",,,,,35000000,3.5,k_pietersen,batter,1001,758,36,132.1,27.81,7.9457
Irfan Pathan,,All-Rounder,Rising Pune Supergiant,2016,"1,00,00,000",,,,,10000000,1.0,i_pathan,allrounder,1150,985,82,116.8,14.02,14.02
Rajat Bhatia,,All-Rounder,Rising Pune Supergiant,2016,"60,00,000",,,,,6000000,0.6,r_bhatia,allrounder,342,290,47,117.9,7.28,12.1333
Peter Handscomb,,Wicket Keeper,Rising Pune Supergiant,2016,"30,00,000",,,,,3000000,0.3,p_handscomb,batter,6,12,1,50.0,6.0,20.0
Deepak Chahar,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,d_chahar,allrounder,80,61,12,131.1,6.67,66.7
Ankit Sharma,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,a_sharma,allrounder,1377,925,61,148.9,22.57,225.7
Ankit Sharma,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,a_sharma,allrounder,87,69,10,126.1,8.7,87.0
Ankit Sharma,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,a_sharma,allrounder,189,118,9,160.2,21.0,210.0
Shane Watson,,All-Rounder, Royal Challengers Bengaluru,2016,"9,50,00,000",,,,,95000000,9.5,s_watson,allrounder,3880,2892,141,134.2,27.52,2.8968
Stuart Binny,,All-Rounder, Royal Challengers Bengaluru,2016,"2,00,00,000",,,,,20000000,2.0,s_binny,allrounder,880,700,66,125.7,13.33,6.665
Travis Head,,Batsman, Royal Challengers Bengaluru,2016,"50,00,000",,,,,5000000,0.5,t_head,batter,772,458,25,168.6,30.88,61.76
Praveen Dubey,,All-Rounder, Royal Challengers Bengaluru,2016,"35,00,000",,,,,3500000,0.35,p_dubey,allrounder,23,33,2,69.7,11.5,32.8571
Sachin Baby,,Batsman, Royal Challengers Bengaluru,2016,"10,00,000",,,,,1000000,0.1,s_baby,batter,144,123,11,117.1,13.09,130.9
Yuvraj Singh,,All-Rounder, Sunrisers Hyderabad,2016,"7,00,00,000",,,,,70000000,7.0,y_singh,allrounder,47,67,4,70.1,11.75,1.6786
Yuvraj Singh,,All-Rounder, Sunrisers Hyderabad,2016,"7,00,00,000",,,,,70000000,7.0,y_singh,allrounder,22,16,4,137.5,5.5,0.7857
Yuvraj Singh,,All-Rounder, Sunrisers Hyderabad,2016,"7,00,00,000",,,,,70000000,7.0,y_singh,allrounder,2754,2207,126,124.8,21.86,3.1229
Deepak Hooda,,All-Rounder, Sunrisers Hyderabad,2016,"4,20,00,000",,,,,42000000,4.2,d_hooda,allrounder,1466,1170,96,125.3,15.27,3.6357
Aditya Tare,,Wicket Keeper, Sunrisers Hyderabad,2016,"1,20,00,000",,,,,12000000,1.2,a_tare,batter,339,285,27,118.9,12.56,10.4667
Ben Cutting,,All-Rounder, Sunrisers Hyderabad,2016,"50,00,000",,,,,5000000,0.5,b_cutting,allrounder,238,146,17,163.0,14.0,28.0
Vijay Shankar,,All-Rounder, Sunrisers Hyderabad,2016,"35,00,000",,,,,3500000,0.35,v_shankar,allrounder,1115,890,58,125.3,19.22,54.9143
Tirumalasetti Suman,,Batsman, Sunrisers Hyderabad,2016,"10,00,000",,,,,1000000,0.1,t_suman,batter,676,587,39,115.2,17.33,173.3
Angelo Mathews,,All-Rounder,Delhi Daredevils,2017,"2,00,00,000",,,,,20000000,2.0,a_mathews,allrounder,724,599,41,120.9,17.66,8.83
Corey Anderson,,All-Rounder,Delhi Daredevils,2017,"1,00,00,000",,,,,10000000,1.0,c_anderson,allrounder,538,436,29,123.4,18.55,18.55
Aditya Tare,,Wicket Keeper,Delhi Daredevils,2017,"25,00,000",,,,,2500000,0.25,a_tare,batter,339,285,27,118.9,12.56,50.24
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,25,22,5,113.6,5.0,50.0
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,423,272,19,155.5,22.26,222.6
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,2,3,1,66.7,2.0,20.0
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,7,8,3,87.5,2.33,23.3
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,43,31,5,138.7,8.6,86.0
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,51,46,9,110.9,5.67,56.7
Jason Roy,,Batsman,Gujarat Lions,2017,"1,00,00,000",,,,,10000000,1.0,j_roy,batter,614,460,21,133.5,29.24,29.24
Akshdeep Nath,,All-Rounder,Gujarat Lions,2017,"10,00,000",,,,,1000000,0.1,a_nath,allrounder,90,99,10,90.9,9.0,90.0
Pratham Singh,,All-Rounder,Gujarat Lions,2017,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,756,528,34,143.2,22.24,222.4
Pratham Singh,,All-Rounder,Gujarat Lions,2017,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,7,12,5,58.3,1.4,14.0
Eoin Morgan,,Batsman,Kings XI Punjab,2017,"2,00,00,000",,,,,20000000,2.0,e_morgan,batter,1406,1181,74,119.1,19.0,9.5
Martin Guptill,,Batsman,Kings XI Punjab,2017,"50,00,000",,,,,5000000,0.5,m_guptill,batter,271,197,13,137.6,20.85,41.7
Darren Sammy,,All-Rounder,Kings XI Punjab,2017,"30,00,000",,,,,3000000,0.3,d_sammy,allrounder,295,251,20,117.5,14.75,49.1667
Rahul Tewatia,,All-Rounder,Kings XI Punjab,2017,"25,00,000",,,,,2500000,0.25,r_tewatia,allrounder,1013,788,65,128.6,15.58,62.32
Rinku Singh,,Batsman,Kings XI Punjab,2017,"10,00,000",,,,,1000000,0.1,r_singh,batter,893,654,40,136.5,22.32,223.2
Rinku Singh,,Batsman,Kings XI Punjab,2017,"10,00,000",,,,,1000000,0.1,r_singh,batter,52,78,28,66.7,1.86,18.6
Rinku Singh,,Batsman,Kings XI Punjab,2017,"10,00,000",,,,,1000000,0.1,r_singh,batter,170,106,13,160.4,13.08,130.8
Chris Woakes,,All-Rounder,Kolkata Knight Riders,2017,"4,20,00,000",,,,,42000000,4.2,c_woakes,allrounder,78,77,12,101.3,6.5,1.5476
Rishi Dhawan,,All-Rounder,Kolkata Knight Riders,2017,"55,00,000",,,,,5500000,0.55,r_dhawan,allrounder,210,188,22,111.7,9.55,17.3636
Darren Bravo,,Batsman,Kolkata Knight Riders,2017,"50,00,000",,,,,5000000,0.5,d_bravo,batter,1560,1247,110,125.1,14.18,28.36
Darren Bravo,,Batsman,Kolkata Knight Riders,2017,"50,00,000",,,,,5000000,0.5,d_bravo,batter,6,5,1,120.0,6.0,12.0
Rovman Powell,,All-Rounder,Kolkata Knight Riders,2017,"30,00,000",,,,,3000000,0.3,r_powell,allrounder,360,254,22,141.7,16.36,54.5333
R. Sanjay Yadav,,All-Rounder,Kolkata Knight Riders,2017,"10,00,000",,,,,1000000,0.1,r_yadav,allrounder,0,2,1,0.0,0.0,0.0
Ishank Jaggi,,Batsman,Kolkata Knight Riders,2017,"10,00,000",,,,,1000000,0.1,i_jaggi,batter,76,100,7,76.0,10.86,108.6
Karn Sharma,,All-Rounder,Mumbai Indians,2017,"3,20,00,000",,,,,32000000,3.2,k_sharma,allrounder,16,25,3,64.0,5.33,1.6656
Karn Sharma,,All-Rounder,Mumbai Indians,2017,"3,20,00,000",,,,,32000000,3.2,k_sharma,allrounder,351,306,39,114.7,9.0,2.8125
Krishnappa Gowtham,,All-Rounder,Mumbai Indians,2017,"2,00,00,000",,,,,20000000,2.0,k_gowtham,allrounder,247,159,27,155.3,9.15,4.575
Saurabh Tiwary,,Batsman,Mumbai Indians,2017,"30,00,000",,,,,3000000,0.3,s_tiwary,batter,1494,1291,73,115.7,20.47,68.2333
Nicolas Pooran,,Wicket Keeper,Mumbai Indians,2017,"30,00,000",,,,,3000000,0.3,n_pooran,batter,1769,1143,72,154.8,24.57,81.9
Benjamin Stokes,,All-Rounder,Rising Pune Supergiant,2017,"14,50,00,000",,,,,145000000,14.5,b_stokes,allrounder,935,718,43,130.2,21.74,1.4993
Daniel Christian,,All-Rounder,Rising Pune Supergiant,2017,"1,00,00,000",,,,,10000000,1.0,d_christian,allrounder,460,408,41,112.7,11.22,11.22
Manoj Tiwary,,Batsman,Rising Pune Supergiant,2017,"50,00,000",,,,,5000000,0.5,m_tiwary,batter,1695,1489,83,113.8,20.42,40.84
Rahul Ajay Tripathi,,All-Rounder,Rising Pune Supergiant,2017,"10,00,000",,,,,1000000,0.1,r_tripathi,allrounder,2236,1650,93,135.5,24.04,240.4
Pawan Negi,,All-Rounder, Royal Challengers Bengaluru,2017,"1,00,00,000",,,,,10000000,1.0,p_negi,allrounder,365,301,35,121.3,10.43,10.43
Praveen Dubey,,All-Rounder, Royal Challengers Bengaluru,2017,"10,00,000",,,,,1000000,0.1,p_dubey,allrounder,23,33,2,69.7,11.5,115.0
Eklavya Dwivedi,,Wicket Keeper, Sunrisers Hyderabad,2017,"75,00,000",,,,,7500000,0.75,e_dwivedi,batter,24,15,2,160.0,12.0,16.0
Chris Jordan,,All-Rounder, Sunrisers Hyderabad,2017,"50,00,000",,,,,5000000,0.5,c_jordan,allrounder,81,81,12,100.0,6.75,13.5
Mohammad Nabi,,All-Rounder, Sunrisers Hyderabad,2017,"30,00,000",,,,,3000000,0.3,m_nabi,allrounder,221,157,19,140.8,11.63,38.7667
Kedar Jadhav,,All-Rounder, Chennai Super Kings,2018,"7,80,00,000",,,,,78000000,7.8,k_jadhav,allrounder,1208,1012,81,119.4,14.91,1.9115
Dwayne Bravo,,All-Rounder, Chennai Super Kings,2018,"6,40,00,000",,,,,64000000,6.4,d_bravo,allrounder,1560,1247,110,125.1,14.18,2.2156
Dwayne Bravo,,All-Rounder, Chennai Super Kings,2018,"6,40,00,000",,,,,64000000,6.4,d_bravo,allrounder,6,5,1,120.0,6.0,0.9375
Shane Watson,,All-Rounder, Chennai Super Kings,2018,"4,00,00,000",,,,,40000000,4.0,s_watson,allrounder,3880,2892,141,134.2,27.52,6.88
Ambati Rayudu,,Wicket Keeper, Chennai Super Kings,2018,"2,20,00,000",,,,,22000000,2.2,a_rayudu,batter,4348,3490,185,124.6,23.5,10.6818
Murali Vijay,,Batsman, Chennai Super Kings,2018,"2,00,00,000",,,,,20000000,2.0,m_vijay,batter,2619,2208,105,118.6,24.94,12.47
Faf Du Plessis,,Batsman, Chennai Super Kings,2018,"1,60,00,000",,,,,16000000,1.6,f_plessis,batter,4571,3435,138,133.1,33.12,20.7
Sam Billings,,Wicket Keeper, Chennai Super Kings,2018,"1,00,00,000",,,,,10000000,1.0,s_billings,batter,503,399,27,126.1,18.63,18.63
Deepak Chahar,,All-Rounder, Chennai Super Kings,2018,"80,00,000",,,,,8000000,0.8,d_chahar,allrounder,80,61,12,131.1,6.67,8.3375
Mitchell Santner,,All-Rounder, Chennai Super Kings,2018,"50,00,000",,,,,5000000,0.5,m_santner,allrounder,70,77,11,90.9,6.36,12.72
N Jagadeesan,,Wicket Keeper, Chennai Super Kings,2018,"20,00,000",,,,,2000000,0.2,n_jagadeesan,batter,162,155,10,104.5,16.2,81.0
Dhruv Shorey,,All-Rounder, Chennai Super Kings,2018,"20,00,000",,,,,2000000,0.2,d_shorey,allrounder,13,20,2,65.0,6.5,32.5
Kshitiz Sharma,,All-Rounder, Chennai Super Kings,2018,"20,00,000",,,,,2000000,0.2,k_sharma,allrounder,16,25,3,64.0,5.33,26.65
Kshitiz Sharma,,All-Rounder, Chennai Super Kings,2018,"20,00,000",,,,,2000000,0.2,k_sharma,allrounder,351,306,39,114.7,9.0,45.0
Glenn Maxwell,,All-Rounder,Delhi Daredevils,2018,"9,00,00,000",,,,,90000000,9.0,g_maxwell,allrounder,2772,1842,128,150.5,21.66,2.4067
Vijay Shankar,,All-Rounder,Delhi Daredevils,2018,"3,20,00,000",,,,,32000000,3.2,v_shankar,allrounder,1115,890,58,125.3,19.22,6.0062
Rahul Tewatia,,All-Rounder,Delhi Daredevils,2018,"3,00,00,000",,,,,30000000,3.0,r_tewatia,allrounder,1013,788,65,128.6,15.58,5.1933
Gautam Gambhir,,Batsman,Delhi Daredevils,2018,"2,80,00,000",,,,,28000000,2.8,g_gambhir,batter,4217,3524,151,119.7,27.93,9.975
Colin Munro,,All-Rounder,Delhi Daredevils,2018,"1,90,00,000",,,,,19000000,1.9,c_munro,allrounder,177,144,11,122.9,16.09,8.4684
Daniel Christian,,All-Rounder,Delhi Daredevils,2018,"1,50,00,000",,,,,15000000,1.5,d_christian,allrounder,460,408,41,112.7,11.22,7.48
Jason Roy,,Batsman,Delhi Daredevils,2018,"1,50,00,000",,,,,15000000,1.5,j_roy,batter,614,460,21,133.5,29.24,19.4933
Naman Ojha,,Wicket Keeper,Delhi Daredevils,2018,"1,40,00,000",,,,,14000000,1.4,n_ojha,batter,1554,1360,94,114.3,16.53,11.8071
Prithvi Shaw,,Batsman,Delhi Daredevils,2018,"1,20,00,000",,,,,12000000,1.2,p_shaw,batter,1892,1321,79,143.2,23.95,19.9583
Abhishek Sharma,,All-Rounder,Delhi Daredevils,2018,"55,00,000",,,,,5500000,0.55,a_sharma,allrounder,1377,925,61,148.9,22.57,41.0364
Abhishek Sharma,,All-Rounder,Delhi Daredevils,2018,"55,00,000",,,,,5500000,0.55,a_sharma,allrounder,87,69,10,126.1,8.7,15.8182
Abhishek Sharma,,All-Rounder,Delhi Daredevils,2018,"55,00,000",,,,,5500000,0.55,a_sharma,allrounder,189,118,9,160.2,21.0,38.1818
Jayant Yadav,,All-Rounder,Delhi Daredevils,2018,"50,00,000",,,,,5000000,0.5,j_yadav,allrounder,40,38,4,105.3,10.0,20.0
Harshal Patel,,All-Rounder,Delhi Daredevils,2018,"20,00,000",,,,,2000000,0.2,h_patel,allrounder,249,214,37,116.4,6.73,33.65
KL Rahul,,Batsman,Kings XI Punjab,2018,"11,00,00,000",,,,,110000000,11.0,k_rahul,batter,4689,3578,122,131.1,38.43,3.4936
Ravichandran Ashwin,,All-Rounder,Kings XI Punjab,2018,"7,60,00,000",,,,,76000000,7.6,r_ashwin,allrounder,800,698,89,114.6,8.99,1.1829
Aaron Finch,,Batsman,Kings XI Punjab,2018,"6,20,00,000",,,,,62000000,6.2,a_finch,batter,2092,1696,90,123.3,23.24,3.7484
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2018,"6,20,00,000",,,,,62000000,6.2,m_stoinis,allrounder,1866,1366,88,136.6,21.2,3.4194
Karun Nair,,Batsman,Kings XI Punjab,2018,"5,60,00,000",,,,,56000000,5.6,k_nair,batter,1496,1192,68,125.5,22.0,3.9286
David Miller,,Batsman,Kings XI Punjab,2018,"3,00,00,000",,,,,30000000,3.0,d_miller,batter,2924,2171,123,134.7,23.77,7.9233
Yuvraj Singh,,All-Rounder,Kings XI Punjab,2018,"2,00,00,000",,,,,20000000,2.0,y_singh,allrounder,47,67,4,70.1,11.75,5.875
Yuvraj Singh,,All-Rounder,Kings XI Punjab,2018,"2,00,00,000",,,,,20000000,2.0,y_singh,allrounder,22,16,4,137.5,5.5,2.75
Yuvraj Singh,,All-Rounder,Kings XI Punjab,2018,"2,00,00,000",,,,,20000000,2.0,y_singh,allrounder,2754,2207,126,124.8,21.86,10.93
Christopher Gayle,,Batsman,Kings XI Punjab,2018,"2,00,00,000",,,,,20000000,2.0,c_gayle,batter,4997,3516,141,142.1,35.44,17.72
Akshdeep Nath,,All-Rounder,Kings XI Punjab,2018,"1,00,00,000",,,,,10000000,1.0,a_nath,allrounder,90,99,10,90.9,9.0,9.0
Manoj Tiwary,,Batsman,Kings XI Punjab,2018,"1,00,00,000",,,,,10000000,1.0,m_tiwary,batter,1695,1489,83,113.8,20.42,20.42
Mayank Agarwal,,Batsman,Kings XI Punjab,2018,"1,00,00,000",,,,,10000000,1.0,m_agarwal,batter,2669,2081,121,128.3,22.06,22.06
Mayank Dagar,,All-Rounder,Kings XI Punjab,2018,"20,00,000",,,,,2000000,0.2,m_dagar,allrounder,0,1,1,0.0,0.0,0.0
Chris Lynn,,Batsman, Kolkata Knight Riders,2018,"9,60,00,000",,,,,96000000,9.6,c_lynn,batter,1329,974,42,136.4,31.64,3.2958
Robin Uthappa,,Wicket Keeper, Kolkata Knight Riders,2018,"6,40,00,000",,,,,64000000,6.4,r_uthappa,batter,4954,3927,197,126.2,25.15,3.9297
Nitish Rana,,All-Rounder, Kolkata Knight Riders,2018,"3,40,00,000",,,,,34000000,3.4,n_rana,allrounder,2636,2015,101,130.8,26.1,7.6765
Kamlesh Nagarkoti,,All-Rounder, Kolkata Knight Riders,2018,"3,20,00,000",,,,,32000000,3.2,k_nagarkoti,allrounder,22,34,7,64.7,3.14,0.9812
Shivam Mavi,,All-Rounder, Kolkata Knight Riders,2018,"3,00,00,000",,,,,30000000,3.0,s_mavi,allrounder,51,58,11,87.9,4.64,1.5467
Shubman Gill,,Batsman, Kolkata Knight Riders,2018,"1,80,00,000",,,,,18000000,1.8,s_gill,batter,3216,2432,99,132.2,32.48,18.0444
Rinku Singh,,Batsman, Kolkata Knight Riders,2018,"80,00,000",,,,,8000000,0.8,r_singh,batter,893,654,40,136.5,22.32,27.9
Rinku Singh,,Batsman, Kolkata Knight Riders,2018,"80,00,000",,,,,8000000,0.8,r_singh,batter,52,78,28,66.7,1.86,2.325
Rinku Singh,,Batsman, Kolkata Knight Riders,2018,"80,00,000",,,,,8000000,0.8,r_singh,batter,170,106,13,160.4,13.08,16.35
Ishank Jaggi,,Batsman, Kolkata Knight Riders,2018,"20,00,000",,,,,2000000,0.2,i_jaggi,batter,76,100,7,76.0,10.86,54.3
Krunal Pandya,,All-Rounder, Mumbai Indians,2018,"8,80,00,000",,,,,88000000,8.8,k_pandya,allrounder,1647,1287,107,128.0,15.39,1.7489
Ishan Kishan,,Wicket Keeper, Mumbai Indians,2018,"6,20,00,000",,,,,62000000,6.2,i_kishan,batter,2644,1991,99,132.8,26.71,4.3081
Kieron Pollard,,All-Rounder, Mumbai Indians,2018,"5,40,00,000",,,,,54000000,5.4,k_pollard,allrounder,3437,2447,168,140.5,20.46,3.7889
Evin Lewis,,Batsman, Mumbai Indians,2018,"3,80,00,000",,,,,38000000,3.8,e_lewis,batter,654,499,26,131.1,25.15,6.6184
Suryakumar Yadav,,Batsman, Mumbai Indians,2018,"3,20,00,000",,,,,32000000,3.2,s_yadav,batter,3594,2522,135,142.5,26.62,8.3188
Ben Cutting,,All-Rounder, Mumbai Indians,2018,"2,20,00,000",,,,,22000000,2.2,b_cutting,allrounder,238,146,17,163.0,14.0,6.3636
Jean-Paul Duminy,,All-Rounder, Mumbai Indians,2018,"1,00,00,000",,,,,10000000,1.0,j_duminy,allrounder,2029,1680,75,120.8,27.05,27.05
Saurabh Tiwary,,Batsman, Mumbai Indians,2018,"80,00,000",,,,,8000000,0.8,s_tiwary,batter,1494,1291,73,115.7,20.47,25.5875
Aditya Tare,,Wicket Keeper, Mumbai Indians,2018,"20,00,000",,,,,2000000,0.2,a_tare,batter,339,285,27,118.9,12.56,62.8
Siddhesh Dinesh Lad,,Batsman, Mumbai Indians,2018,"20,00,000",,,,,2000000,0.2,s_lad,batter,15,13,1,115.4,15.0,75.0
Anukul Roy,,All-Rounder, Mumbai Indians,2018,"20,00,000",,,,,2000000,0.2,a_roy,allrounder,26,24,6,108.3,4.33,21.65
Benjamin Stokes,,All-Rounder, Rajasthan Royals,2018,"12,50,00,000",,,,,125000000,12.5,b_stokes,allrounder,935,718,43,130.2,21.74,1.7392
Sanju Samson,,Wicket Keeper, Rajasthan Royals,2018,"8,00,00,000",,,,,80000000,8.0,s_samson,batter,4419,3270,162,135.1,27.28,3.41
Jofra Archer,,All-Rounder, Rajasthan Royals,2018,"7,20,00,000",,,,,72000000,7.2,j_archer,allrounder,199,132,23,150.8,8.65,1.2014
Jos Buttler,,Wicket Keeper, Rajasthan Royals,2018,"4,40,00,000",,,,,44000000,4.4,j_buttler,batter,3583,2519,106,142.2,33.8,7.6818
Ajinkya Rahane,,Batsman, Rajasthan Royals,2018,"4,00,00,000",,,,,40000000,4.0,a_rahane,batter,4642,3858,171,120.3,27.15,6.7875
Darcy Short,,All-Rounder, Rajasthan Royals,2018,"4,00,00,000",,,,,40000000,4.0,d_short,allrounder,115,102,7,112.7,16.43,4.1075
Rahul Tripathi,,Batsman, Rajasthan Royals,2018,"3,40,00,000",,,,,34000000,3.4,r_tripathi,batter,2236,1650,93,135.5,24.04,7.0706
Stuart Binny,,All-Rounder, Rajasthan Royals,2018,"50,00,000",,,,,5000000,0.5,s_binny,allrounder,880,700,66,125.7,13.33,26.66
