batter,runs,balls,matches_batted,strike_rate,runs_per_match,match_key
A Ashish Reddy,280,196,23,142.9,12.17,a_reddy
A Badoni,634,505,35,125.5,18.11,a_badoni
A Chandila,4,7,2,57.1,2.0,a_chandila
A Chopra,53,75,6,70.7,8.83,a_chopra
A Choudhary,25,20,3,125.0,8.33,a_choudhary
A Dananjaya,4,5,1,80.0,4.0,a_dananjaya
A Flintoff,62,57,3,108.8,20.67,a_flintoff
A Kamboj,2,2,1,100.0,2.0,a_kamboj
A Kumble,35,49,15,71.4,2.33,a_kumble
A Manohar,231,181,15,127.6,15.4,a_manohar
A Mishra,381,440,55,86.6,6.93,a_mishra
A Mithun,34,26,6,130.8,5.67,a_mithun
A Mukund,19,23,2,82.6,9.5,a_mukund
A Nehra,41,63,17,65.1,2.41,a_nehra
A Nortje,49,51,13,96.1,3.77,a_nortje
A Raghuvanshi,163,109,7,149.5,23.29,a_raghuvanshi
A Singh,2,10,5,20.0,0.4,a_singh
A Symonds,974,781,36,124.7,27.06,a_symonds
A Tomar,4,8,1,50.0,4.0,a_tomar
A Uniyal,4,7,2,57.1,2.0,a_uniyal
A Zampa,15,25,5,60.0,3.0,a_zampa
AA Bilakhia,69,88,7,78.4,9.86,a_bilakhia
AA Chavan,12,11,3,109.1,4.0,a_chavan
AA Jhunjhunwala,217,218,15,99.5,14.47,a_jhunjhunwala
AA Kulkarni,9,8,2,112.5,4.5,a_kulkarni
AA Noffke,9,12,1,75.0,9.0,a_noffke
AB Agarkar,179,160,18,111.9,9.94,a_agarkar
AB Barath,42,43,3,97.7,14.0,a_barath
AB Dinda,26,50,16,52.0,1.62,a_dinda
AB McDonald,123,103,9,119.4,13.67,a_mcdonald
AB de Villiers,5181,3487,170,148.6,30.48,a_villiers
AC Blizzard,120,91,7,131.9,17.14,a_blizzard
AC Gilchrist,2069,1555,80,133.1,25.86,a_gilchrist
AC Thomas,20,19,4,105.3,5.0,a_thomas
AC Voges,181,143,7,126.6,25.86,a_voges
AD Hales,148,119,6,124.4,24.67,a_hales
AD Mascarenhas,79,79,11,100.0,7.18,a_mascarenhas
AD Mathews,724,599,41,120.9,17.66,a_mathews
AD Nath,90,99,10,90.9,9.0,a_nath
AD Russell,2488,1515,104,164.2,23.92,a_russell
AF Milne,23,31,6,74.2,3.83,a_milne
AG Murtaza,10,14,3,71.4,3.33,a_murtaza
AG Paunikar,49,61,5,80.3,9.8,a_paunikar
AJ Finch,2092,1696,90,123.3,23.24,a_finch
AJ Hosein,16,11,1,145.5,16.0,a_hosein
AJ Turner,24,31,6,77.4,4.0,a_turner
AJ Tye,91,79,13,115.2,7.0,a_tye
AK Markram,995,787,42,126.4,23.69,a_markram
AL Menaria,401,367,23,109.3,17.43,a_menaria
AM Nayar,672,588,50,114.3,13.44,a_nayar
AM Rahane,4642,3858,171,120.3,27.15,a_rahane
AN Ahmed,36,27,6,133.3,6.0,a_ahmed
AN Ghosh,7,8,2,87.5,3.5,a_ghosh
AP Dole,34,23,2,147.8,17.0,a_dole
AP Majumdar,87,77,4,113.0,21.75,a_majumdar
AP Tare,339,285,27,118.9,12.56,a_tare
AR Bawne,12,12,1,100.0,12.0,a_bawne
AR Patel,1653,1318,112,125.4,14.76,a_patel
AS Joseph,27,32,5,84.4,5.4,a_joseph
AS Rajpoot,26,41,7,63.4,3.71,a_rajpoot
AS Raut,194,172,16,112.8,12.12,a_raut
AS Roy,26,24,6,108.3,4.33,a_roy
AS Yadav,49,40,6,122.5,8.17,a_yadav
AT Carey,32,29,3,110.3,10.67,a_carey
AT Rayudu,4348,3490,185,124.6,23.5,a_rayudu
AU Rashid,22,17,2,129.4,11.0,a_rashid
AUK Pathan,39,26,7,150.0,5.57,a_pathan
Abdul Basith,1,1,1,100.0,1.0,a_basith
Abdul Samad,579,408,39,141.9,14.85,a_samad
Abdur Razzak,0,2,1,0.0,0.0,a_razzak
Abhishek Sharma,1377,925,61,148.9,22.57,a_sharma
Abishek Porel,360,244,16,147.5,22.5,a_porel
Akash Deep,19,12,3,158.3,6.33,a_deep
Akash Madhwal,4,5,1,80.0,4.0,a_madhwal
Aman Hakim Khan,115,109,10,105.5,11.5,a_khan
Anirudh Singh,63,69,4,91.3,15.75,a_singh
Ankit Sharma,87,69,10,126.1,8.7,a_sharma
Ankit Soni,7,9,3,77.8,2.33,a_soni
Anmolpreet Singh,139,117,9,118.8,15.44,a_singh
Anuj Rawat,318,276,21,115.2,15.14,a_rawat
Anureet Singh,36,47,8,76.6,4.5,a_singh
Arjun Tendulkar,13,9,1,144.4,13.0,a_tendulkar
Arshad Khan,96,67,6,143.3,16.0,a_khan
Arshad Khan (2),5,4,1,125.0,5.0,a_(2)
Arshdeep Singh,29,42,11,69.0,2.64,a_singh
Ashutosh Sharma,189,118,9,160.2,21.0,a_sharma
Atharva Taide,247,177,9,139.5,27.44,a_taide
Avesh Khan,41,25,9,164.0,4.56,a_khan
Azhar Mahmood,388,311,21,124.8,18.48,a_mahmood
Azmatullah Omarzai,42,34,4,123.5,10.5,a_omarzai
B Akhil,76,57,11,133.3,6.91,b_akhil
B Chipli,280,256,21,109.4,13.33,b_chipli
B Indrajith,21,31,3,67.7,7.0,b_indrajith
B Kumar,306,338,65,90.5,4.71,b_kumar
B Laughlin,5,13,4,38.5,1.25,b_laughlin
B Lee,124,102,19,121.6,6.53,b_lee
B Sai Sudharsan,1034,770,25,134.3,41.36,b_sudharsan
B Stanlake,5,2,1,250.0,5.0,b_stanlake
B Sumanth,35,38,4,92.1,8.75,b_sumanth
BA Bhatt,6,7,2,85.7,3.0,b_bhatt
BA Stokes,935,718,43,130.2,21.74,b_stokes
BAW Mendis,3,6,3,50.0,1.0,b_mendis
BB McCullum,2882,2272,109,126.8,26.44,b_mccullum
BB Samantray,125,116,8,107.8,15.62,b_samantray
BB Sran,10,14,7,71.4,1.43,b_sran
BCJ Cutting,238,146,17,163.0,14.0,b_cutting
BE Hendricks,1,3,2,33.3,0.5,b_hendricks
BJ Haddin,18,11,1,163.6,18.0,b_haddin
BJ Hodge,1400,1153,63,121.4,22.22,b_hodge
BJ Rohrer,193,146,8,132.2,24.12,b_rohrer
BMAJ Mendis,23,27,3,85.2,7.67,b_mendis
BR Dunk,40,36,3,111.1,13.33,b_dunk
BR Sharath,2,5,1,40.0,2.0,b_sharath
Basil Thampi,32,37,7,86.5,4.57,b_thampi
Bipul Sharma,187,124,17,150.8,11.0,b_sharma
C Green,707,472,28,149.8,25.25,c_green
C Madan,15,21,1,71.4,15.0,c_madan
C Munro,177,144,11,122.9,16.09,c_munro
C Nanda,0,1,1,0.0,0.0,c_nanda
C Sakariya,20,31,7,64.5,2.86,c_sakariya
C de Grandhomme,303,229,21,132.3,14.43,c_grandhomme
CA Ingram,205,183,15,112.0,13.67,c_ingram
CA Lynn,1329,974,42,136.4,31.64,c_lynn
CA Pujara,390,403,22,96.8,17.73,c_pujara
CH Gayle,4997,3516,141,142.1,35.44,c_gayle
CH Morris,618,413,49,149.6,12.61,c_morris
CJ Anderson,538,436,29,123.4,18.55,c_anderson
CJ Ferguson,98,119,8,82.4,12.25,c_ferguson
CJ Jordan,81,81,12,100.0,6.75,c_jordan
CJ McKay,8,15,1,53.3,8.0,c_mckay
CK Kapugedera,16,24,3,66.7,5.33,c_kapugedera
CK Langeveldt,8,9,2,88.9,4.0,c_langeveldt
CL White,971,774,45,125.5,21.58,c_white
CM Gautam,169,158,13,107.0,13.0,c_gautam
CR Brathwaite,181,120,14,150.8,12.93,c_brathwaite
CR Woakes,78,77,12,101.3,6.5,c_woakes
CRD Fernando,4,3,2,133.3,2.0,c_fernando
CV Varun,25,49,10,51.0,2.5,c_varun
D Brevis,230,176,10,130.7,23.0,d_brevis
D Ferreira,8,11,2,72.7,4.0,d_ferreira
D Kalyankrishna,3,8,1,37.5,3.0,d_kalyankrishna
D Padikkal,1559,1323,64,117.8,24.36,d_padikkal
D Pretorius,44,28,5,157.1,8.8,d_pretorius
D Salunkhe,33,24,3,137.5,11.0,d_salunkhe
D Wiese,148,105,11,141.0,13.45,d_wiese
D du Preez,10,13,1,76.9,10.0,d_preez
DA Miller,2924,2171,123,134.7,23.77,d_miller
DA Warner,6567,4849,184,135.4,35.69,d_warner
DAJ Bracewell,12,9,1,133.3,12.0,d_bracewell
DB Das,304,267,22,113.9,13.82,d_das
DB Ravi Teja,375,325,25,115.4,15.0,d_teja
DE Bollinger,21,23,4,91.3,5.25,d_bollinger
DG Nalkande,12,12,2,100.0,6.0,d_nalkande
DH Yagnik,170,142,17,119.7,10.0,d_yagnik
DJ Bravo,1560,1247,110,125.1,14.18,d_bravo
DJ Harris,111,103,4,107.8,27.75,d_harris
DJ Hooda,1466,1170,96,125.3,15.27,d_hooda
DJ Hussey,1322,1101,61,120.1,21.67,d_hussey
DJ Jacobs,92,101,7,91.1,13.14,d_jacobs
DJ Malan,26,26,1,100.0,26.0,d_malan
DJ Mitchell,351,274,15,128.1,23.4,d_mitchell
DJ Muthuswami,1,3,1,33.3,1.0,d_muthuswami
DJ Thornely,39,54,4,72.2,9.75,d_thornely
DJ Willey,53,64,5,82.8,10.6,d_willey
DJG Sammy,295,251,20,117.5,14.75,d_sammy
DJM Short,115,102,7,112.7,16.43,d_short
DL Chahar,80,61,12,131.1,6.67,d_chahar
DL Vettori,121,118,16,102.5,7.56,d_vettori
DM Bravo,6,5,1,120.0,6.0,d_bravo
DNT Zoysa,11,9,2,122.2,5.5,d_zoysa
DP Conway,924,669,22,138.1,42.0,d_conway
DP Nannes,4,13,2,30.8,2.0,d_nannes
DP Vijaykumar,1,1,1,100.0,1.0,d_vijaykumar
DPMD Jayawardene,1808,1522,78,118.8,23.18,d_jayawardene
DR Martyn,19,26,1,73.1,19.0,d_martyn
DR Sams,44,48,13,91.7,3.38,d_sams
DR Shorey,13,20,2,65.0,6.5,d_shorey
DR Smith,2385,1803,88,132.3,27.1,d_smith
DS Kulkarni,104,113,20,92.0,5.2,d_kulkarni
DS Lehmann,18,19,2,94.7,9.0,d_lehmann
DT Christian,460,408,41,112.7,11.22,d_christian
DT Patil,13,13,2,100.0,6.5,d_patil
DW Steyn,167,163,33,102.5,5.06,d_steyn
Dhruv Jurel,347,237,22,146.4,15.77,d_jurel
E Lewis,654,499,26,131.1,25.15,e_lewis
EJG Morgan,1406,1181,74,119.1,19.0,e_morgan
ER Dwivedi,24,15,2,160.0,12.0,e_dwivedi
F Behardien,14,13,3,107.7,4.67,f_behardien
F du Plessis,4571,3435,138,133.1,33.12,f_plessis
FA Allen,14,19,3,73.7,4.67,f_allen
FH Edwards,4,5,2,80.0,2.0,f_edwards
FY Fazal,183,179,11,102.2,16.64,f_fazal
Fazalhaq Farooqi,3,13,2,23.1,1.5,f_farooqi
G Coetzee,14,22,5,63.6,2.8,g_coetzee
G Gambhir,4217,3524,151,119.7,27.93,g_gambhir
GB Hogg,22,22,4,100.0,5.5,g_hogg
GC Smith,739,691,29,106.9,25.48,g_smith
GC Viljoen,3,7,3,42.9,1.0,g_viljoen
GD McGrath,4,5,2,80.0,2.0,g_mcgrath
GD Phillips,65,55,8,118.2,8.12,g_phillips
GH Vihari,284,331,23,85.8,12.35,g_vihari
GHS Garton,2,4,2,50.0,1.0,g_garton
GJ Bailey,663,552,36,120.1,18.42,g_bailey
GJ Maxwell,2772,1842,128,150.5,21.66,g_maxwell
GR Napier,15,16,1,93.8,15.0,g_napier
Gulbadin Naib,19,15,1,126.7,19.0,g_naib
Gurkeerat Singh,511,436,32,117.2,15.97,g_singh
H Das,2,5,1,40.0,2.0,h_das
H Klaasen,993,613,32,162.0,31.03,h_klaasen
HC Brook,190,159,11,119.5,17.27,h_brook
HE van der Dussen,22,25,3,88.0,7.33,h_dussen
HF Gurney,1,5,1,20.0,1.0,h_gurney
HH Gibbs,886,837,36,105.9,24.61,h_gibbs
HH Pandya,2534,1814,128,139.7,19.8,h_pandya
HM Amla,577,418,16,138.0,36.06,h_amla
HR Shokeen,66,67,5,98.5,13.2,h_shokeen
HV Patel,249,214,37,116.4,6.73,h_patel
Harbhajan Singh,833,636,88,131.0,9.47,h_singh
Harmeet Singh,18,12,4,150.0,4.5,h_singh
Harpreet Brar,233,201,24,115.9,9.71,h_brar
Harpreet Singh,123,119,8,103.4,15.38,h_singh
Harshit Rana,2,3,3,66.7,0.67,h_rana
I Malhotra,7,4,1,175.0,7.0,i_malhotra
I Sharma,57,71,21,80.3,2.71,i_sharma
I Udana,15,11,4,136.4,3.75,i_udana
IC Pandey,0,2,1,0.0,0.0,i_pandey
IK Pathan,1150,985,82,116.8,14.02,i_pathan
IR Jaggi,76,100,7,76.0,10.86,i_jaggi
IS Sodhi,7,18,2,38.9,3.5,i_sodhi
Imran Tahir,33,37,8,89.2,4.12,i_tahir
Iqbal Abdulla,88,86,13,102.3,6.77,i_abdulla
Ishan Kishan,2644,1991,99,132.8,26.71,i_kishan
J Arunkumar,23,24,3,95.8,7.67,j_arunkumar
J Botha,409,364,28,112.4,14.61,j_botha
J Fraser-McGurk,330,150,9,220.0,36.67,j_fraser-mcgurk
J Suchith,70,62,9,112.9,7.78,j_suchith
J Syed Mohammad,29,27,5,107.4,5.8,j_mohammad
J Theron,10,13,4,76.9,2.5,j_theron
J Yadav,40,38,4,105.3,10.0,j_yadav
JA Morkel,975,712,67,136.9,14.55,j_morkel
JA Richardson,17,27,3,63.0,5.67,j_richardson
JC Archer,199,132,23,150.8,8.65,j_archer
JC Buttler,3583,2519,106,142.2,33.8,j_buttler
JD Ryder,604,466,29,129.6,20.83,j_ryder
JD Unadkat,197,170,27,115.9,7.3,j_unadkat
JDP Oram,106,110,11,96.4,9.64,j_oram
JDS Neesham,92,93,10,98.9,9.2,j_neesham
JE Root,10,15,1,66.7,10.0,j_root
JE Taylor,3,4,2,75.0,1.5,j_taylor
JEC Franklin,327,309,16,105.8,20.44,j_franklin
JH Kallis,2427,2291,95,105.9,25.55,j_kallis
JJ Bumrah,68,80,26,85.0,2.62,j_bumrah
JJ Roy,614,460,21,133.5,29.24,j_roy
JJ van der Wath,18,17,3,105.9,6.0,j_wath
JL Denly,0,1,1,0.0,0.0,j_denly
JL Pattinson,15,13,2,115.4,7.5,j_pattinson
JM Bairstow,1589,1132,50,140.4,31.78,j_bairstow
JM Kemp,26,25,2,104.0,13.0,j_kemp
JM Sharma,730,501,36,145.7,20.28,j_sharma
JO Holder,259,217,27,119.4,9.59,j_holder
JP Behrendorff,6,9,2,66.7,3.0,j_behrendorff
JP Duminy,2029,1680,75,120.8,27.05,j_duminy
JP Faulkner,527,406,45,129.8,11.71,j_faulkner
JPR Scantlebury-Searles,8,6,2,133.3,4.0,j_scantlebury-searles
JR Hazlewood,19,29,6,65.5,3.17,j_hazlewood
JR Hopes,417,314,19,132.8,21.95,j_hopes
JR Philippe,78,80,5,97.5,15.6,j_philippe
Jaskaran Singh,8,11,4,72.7,2.0,j_singh
Joginder Sharma,36,30,5,120.0,7.2,j_sharma
K Goel,218,239,16,91.2,13.62,k_goel
K Gowtham,247,159,27,155.3,9.15,k_gowtham
K Kartikeya,9,13,2,69.2,4.5,k_kartikeya
K Rabada,206,207,28,99.5,7.36,k_rabada
K Upadhyay,12,9,2,133.3,6.0,k_upadhyay
K Yadav,0,4,1,0.0,0.0,k_yadav
KA Jamieson,65,55,7,118.2,9.29,k_jamieson
KA Maharaj,1,2,1,50.0,1.0,k_maharaj
KA Pollard,3437,2447,168,140.5,20.46,k_pollard
KAJ Roach,10,9,1,111.1,10.0,k_roach
KB Arun Karthik,51,53,8,96.2,6.38,k_karthik
KC Cariappa,24,21,5,114.3,4.8,k_cariappa
KC Sangakkara,1687,1424,68,118.5,24.81,k_sangakkara
KD Karthik,4843,3687,233,131.4,20.79,k_karthik
KH Pandya,1647,1287,107,128.0,15.39,k_pandya
KJ Abbott,13,8,3,162.5,4.33,k_abbott
KK Ahmed,1,7,5,14.3,0.2,k_ahmed
KK Cooper,116,70,12,165.7,9.67,k_cooper
KK Nair,1496,1192,68,125.5,22.0,k_nair
KL Nagarkoti,22,34,7,64.7,3.14,k_nagarkoti
KL Rahul,4689,3578,122,131.1,38.43,k_rahul
KM Asif,0,2,1,0.0,0.0,k_asif
KM Jadhav,1208,1012,81,119.4,14.91,k_jadhav
KMA Paul,18,26,5,69.2,3.6,k_paul
KMDN Kulasekara,5,3,1,166.7,5.0,k_kulasekara
KP Appanna,2,4,3,50.0,0.67,k_appanna
KP Pietersen,1001,758,36,132.1,27.81,k_pietersen
KR Mayers,379,276,13,137.3,29.15,k_mayers
KR Sen,0,3,1,0.0,0.0,k_sen
KS Bharat,199,168,8,118.5,24.88,k_bharat
KS Sharma,16,25,3,64.0,5.33,k_sharma
KS Williamson,2132,1734,76,123.0,28.05,k_williamson
KV Sharma,351,306,39,114.7,9.0,k_sharma
KW Richardson,36,39,4,92.3,9.0,k_richardson
Kamran Akmal,128,78,6,164.1,21.33,k_akmal
Kamran Khan,3,5,1,60.0,3.0,k_khan
Karanveer Singh,12,17,4,70.6,3.0,k_singh
Kartik Tyagi,13,16,6,81.2,2.17,k_tyagi
Kuldeep Yadav,183,224,32,81.7,5.72,k_yadav
Kumar Kushagra,3,7,3,42.9,1.0,k_kushagra
L Ablish,0,2,1,0.0,0.0,l_ablish
L Balaji,36,50,13,72.0,2.77,l_balaji
L Ronchi,34,37,5,91.9,6.8,l_ronchi
L Wood,9,3,1,300.0,9.0,l_wood
LA Carseldine,81,71,5,114.1,16.2,l_carseldine
LA Pomersbach,302,251,16,120.3,18.88,l_pomersbach
LB Williams,1,2,1,50.0,1.0,l_williams
LE Plunkett,1,3,2,33.3,0.5,l_plunkett
LH Ferguson,68,48,7,141.7,9.71,l_ferguson
LJ Wright,106,63,5,168.3,21.2,l_wright
LMP Simmons,1079,878,29,122.9,37.21,l_simmons
LPC Silva,40,27,3,148.1,13.33,l_silva
LR Shukla,405,358,33,113.1,12.27,l_shukla
LRPL Taylor,1017,847,54,120.1,18.83,l_taylor
LS Livingstone,939,609,39,154.2,24.08,l_livingstone
Lalit Yadav,305,301,21,101.3,14.52,l_yadav
Liton Das,4,4,1,100.0,4.0,l_das
M Ashwin,35,50,12,70.0,2.92,m_ashwin
M Jansen,66,71,12,93.0,5.5,m_jansen
M Kaif,259,258,22,100.4,11.77,m_kaif
M Kartik,113,109,14,103.7,8.07,m_kartik
M Klinger,73,78,4,93.6,18.25,m_klinger
M Manhas,514,486,38,105.8,13.53,m_manhas
M Markande,48,44,10,109.1,4.8,m_markande
M Morkel,126,93,20,135.5,6.3,m_morkel
