Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key,role_clean,balls_bowled,runs_conceded,wickets,economy,wickets_per_match,rpr_bowling
Dale Steyn,,Bowler,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_steyn,bowler,2282,2583,105,6.79,5.52,2.4
Dwayne Smith,,All-Rounder,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_smith,allrounder,557,825,27,8.89,5.82,2.530435
Dhawal Kulkarni,,Bowler,Gujarat Lions,2016,"2,00,00,000",,,,,20000000,2.0,d_kulkarni,bowler,1876,2513,91,8.04,5.82,2.91
Andrew Tye,,All-Rounder,Gujarat Lions,2016,"50,00,000",,,,,5000000,0.5,a_tye,allrounder,714,1005,48,8.45,8.07,16.14
Shadab Jakati,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,s_jakati,allrounder,1101,1474,50,8.03,5.45,27.25
Pravin Tambe,,Bowler,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,p_tambe,bowler,674,866,28,7.71,4.99,24.95
Pradeep Sangwan,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,p_sangwan,allrounder,905,1267,44,8.4,5.83,29.15
Amit Mishra,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,a_mishra,bowler,3444,4193,183,7.3,6.38,63.8
Shivil Kaushik,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,s_kaushik,bowler,210,304,6,8.69,3.43,34.3
Sarabjit Ladda,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,s_ladda,bowler,141,225,5,9.57,4.26,42.6
Mohit Sharma,,Bowler,Kings XI Punjab,2016,"6,50,00,000",,,,,65000000,6.5,m_sharma,bowler,2308,3278,147,8.52,7.64,1.175385
Kyle Abbott,,Bowler,Kings XI Punjab,2016,"2,10,00,000",,,,,21000000,2.1,k_abbott,bowler,102,182,2,10.71,2.35,1.119048
K.C. Cariappa,,Bowler,Kings XI Punjab,2016,"80,00,000",,,,,8000000,0.8,k_cariappa,bowler,224,349,8,9.35,4.29,5.3625
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2016,"55,00,000",,,,,5500000,0.55,m_stoinis,allrounder,831,1300,45,9.39,6.5,11.818182
Pardeep Sahu,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,p_sahu,allrounder,107,152,3,8.52,3.36,33.6
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,19,25,1,7.89,6.32,63.2
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,193,265,10,8.24,6.22,62.2
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,165,241,7,8.76,5.09,50.9
Jaydev Unadkat,,Bowler,Kolkata Knight Riders,2016,"1,60,00,000",,,,,16000000,1.6,j_unadkat,bowler,2194,3219,109,8.8,5.96,3.725
Ankit Singh Rajpoot,,Bowler,Kolkata Knight Riders,2016,"1,50,00,000",,,,,15000000,1.5,a_rajpoot,bowler,567,844,24,8.93,5.08,3.386667
John Hastings,,Bowler,Kolkata Knight Riders,2016,"1,30,00,000",,,,,13000000,1.3,j_hastings,bowler,61,66,3,6.49,5.9,4.538462
Jason Holder,,All-Rounder,Kolkata Knight Riders,2016,"70,00,000",,,,,7000000,0.7,j_holder,allrounder,1049,1489,59,8.52,6.75,9.642857
Colin Munro,,All-Rounder,Kolkata Knight Riders,2016,"30,00,000",,,,,3000000,0.3,c_munro,allrounder,12,15,0,7.5,0.0,0.0
Rajagopal Sathish,,All-Rounder,Kolkata Knight Riders,2016,"20,00,000",,,,,2000000,0.2,r_sathish,allrounder,144,233,6,9.71,5.0,25.0
Manan Ajay Sharma,,All-Rounder,Kolkata Knight Riders,2016,"10,00,000",,,,,1000000,0.1,m_sharma,allrounder,2308,3278,147,8.52,7.64,76.4
Nathu Singh,,Bowler,Mumbai Indians,2016,"3,20,00,000",,,,,32000000,3.2,n_singh,bowler,25,18,1,4.32,4.8,1.5
Tim Southee,,Bowler,Mumbai Indians,2016,"2,50,00,000",,,,,25000000,2.5,t_southee,bowler,1262,1774,57,8.43,5.42,2.168
Krunal Pandya,,All-Rounder,Mumbai Indians,2016,"2,00,00,000",,,,,20000000,2.0,k_pandya,allrounder,2183,2644,80,7.27,4.4,2.2
Mitchell Marsh,,All-Rounder,Rising Pune Supergiant,2016,"4,80,00,000",,,,,48000000,4.8,m_marsh,allrounder,593,803,37,8.12,7.49,1.560417
M. Ashwin,,Bowler,Rising Pune Supergiant,2016,"4,50,00,000",,,,,45000000,4.5,m_ashwin,bowler,898,1182,35,7.9,4.68,1.04
Ishant Sharma,,Bowler,Rising Pune Supergiant,2016,"3,80,00,000",,,,,38000000,3.8,i_sharma,bowler,2429,3255,96,8.04,4.74,1.247368
Irfan Pathan,,All-Rounder,Rising Pune Supergiant,2016,"1,00,00,000",,,,,10000000,1.0,i_pathan,allrounder,2113,2711,99,7.7,5.62,5.62
Rajat Bhatia,,All-Rounder,Rising Pune Supergiant,2016,"60,00,000",,,,,6000000,0.6,r_bhatia,allrounder,1661,2059,82,7.44,5.92,9.866667
Ashok Dinda,,Bowler,Rising Pune Supergiant,2016,"50,00,000",,,,,5000000,0.5,a_dinda,bowler,1589,2103,82,7.94,6.19,12.38
Scott Boland,,Bowler,Rising Pune Supergiant,2016,"50,00,000",,,,,5000000,0.5,s_boland,bowler,43,56,3,7.81,8.37,16.74
Rudra Pratap Singh,,Bowler,Rising Pune Supergiant,2016,"30,00,000",,,,,3000000,0.3,r_singh,bowler,1874,2417,100,7.74,6.4,21.333333
Rudra Pratap Singh,,Bowler,Rising Pune Supergiant,2016,"30,00,000",,,,,3000000,0.3,r_singh,bowler,45,64,6,8.53,16.0,53.333333
Adam Zampa,,Bowler,Rising Pune Supergiant,2016,"30,00,000",,,,,3000000,0.3,a_zampa,bowler,425,562,30,7.93,8.47,28.233333
Ishwar Chandra Pandey,,Bowler,Rising Pune Supergiant,2016,"20,00,000",,,,,2000000,0.2,i_pandey,bowler,469,609,19,7.79,4.86,24.3
Deepak Chahar,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,d_chahar,allrounder,1746,2243,79,7.71,5.43,54.3
Jaskaran Singh,,Bowler,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,j_singh,bowler,111,174,6,9.41,6.49,64.9
Ankit Sharma,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,a_sharma,allrounder,278,396,11,8.55,4.75,47.5
Ankit Sharma,,All-Rounder,Rising Pune Supergiant,2016,"10,00,000",,,,,1000000,0.1,a_sharma,allrounder,375,453,12,7.25,3.84,38.4
Shane Watson,,All-Rounder, Royal Challengers Bengaluru,2016,"9,50,00,000",,,,,95000000,9.5,s_watson,allrounder,2137,2742,107,7.7,6.01,0.632632
Stuart Binny,,All-Rounder, Royal Challengers Bengaluru,2016,"2,00,00,000",,,,,20000000,2.0,s_binny,allrounder,611,763,28,7.49,5.5,2.75
Kane Richardson,,Bowler, Royal Challengers Bengaluru,2016,"2,00,00,000",,,,,20000000,2.0,k_richardson,bowler,345,479,21,8.33,7.3,3.65
Samuel Badree,,Bowler, Royal Challengers Bengaluru,2016,"50,00,000",,,,,5000000,0.5,s_badree,bowler,263,329,11,7.51,5.02,10.04
Praveen Dubey,,All-Rounder, Royal Challengers Bengaluru,2016,"35,00,000",,,,,3500000,0.35,p_dubey,allrounder,67,91,1,8.15,1.79,5.114286
Vikramjeet Malik,,Bowler, Royal Challengers Bengaluru,2016,"20,00,000",,,,,2000000,0.2,v_malik,bowler,212,268,6,7.58,3.4,17.0
Yuvraj Singh,,All-Rounder, Sunrisers Hyderabad,2016,"7,00,00,000",,,,,70000000,7.0,y_singh,allrounder,74,125,4,10.14,6.49,0.927143
Yuvraj Singh,,All-Rounder, Sunrisers Hyderabad,2016,"7,00,00,000",,,,,70000000,7.0,y_singh,allrounder,882,1091,39,7.42,5.31,0.758571
Ashish Nehra,,Bowler, Sunrisers Hyderabad,2016,"5,50,00,000",,,,,55000000,5.5,a_nehra,bowler,1974,2537,121,7.71,7.36,1.338182
Deepak Hooda,,All-Rounder, Sunrisers Hyderabad,2016,"4,20,00,000",,,,,42000000,4.2,d_hooda,allrounder,384,535,10,8.36,3.12,0.742857
Mustafizur Rahman,,Bowler, Sunrisers Hyderabad,2016,"1,40,00,000",,,,,14000000,1.4,m_rahman,bowler,452,598,20,7.94,5.31,3.792857
Mustafizur Rahman,,Bowler, Sunrisers Hyderabad,2016,"1,40,00,000",,,,,14000000,1.4,m_rahman,bowler,1353,1792,70,7.95,6.21,4.435714
Barinder Singh Sran,,Bowler, Sunrisers Hyderabad,2016,"1,20,00,000",,,,,12000000,1.2,b_sran,bowler,516,767,20,8.92,4.65,3.875
Ben Cutting,,All-Rounder, Sunrisers Hyderabad,2016,"50,00,000",,,,,5000000,0.5,b_cutting,allrounder,288,430,12,8.96,5.0,10.0
Vijay Shankar,,All-Rounder, Sunrisers Hyderabad,2016,"35,00,000",,,,,3500000,0.35,v_shankar,allrounder,258,344,12,8.0,5.58,15.942857
Abhimanyu Mithun,,Bowler, Sunrisers Hyderabad,2016,"30,00,000",,,,,3000000,0.3,a_mithun,bowler,312,477,8,9.17,3.08,10.266667
Kagiso Rabada,,Bowler,Delhi Daredevils,2017,"5,00,00,000",,,,,50000000,5.0,k_rabada,bowler,1907,2652,126,8.34,7.93,1.586
Patrick Cummins,,Bowler,Delhi Daredevils,2017,"4,50,00,000",,,,,45000000,4.5,p_cummins,bowler,1370,1976,66,8.65,5.78,1.284444
Angelo Mathews,,All-Rounder,Delhi Daredevils,2017,"2,00,00,000",,,,,20000000,2.0,a_mathews,allrounder,807,1095,28,8.14,4.16,2.08
Corey Anderson,,All-Rounder,Delhi Daredevils,2017,"1,00,00,000",,,,,10000000,1.0,c_anderson,allrounder,315,525,14,10.0,5.33,5.33
M. Ashwin,,Bowler,Delhi Daredevils,2017,"1,00,00,000",,,,,10000000,1.0,m_ashwin,bowler,898,1182,35,7.9,4.68,4.68
Navdeep Saini,,Bowler,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,n_saini,bowler,15,35,0,14.0,0.0,0.0
Navdeep Saini,,Bowler,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,n_saini,bowler,682,968,26,8.52,4.57,45.7
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,19,25,1,7.89,6.32,63.2
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,193,265,10,8.24,6.22,62.2
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,165,241,7,8.76,5.09,50.9
Basil Thampi,,Bowler,Gujarat Lions,2017,"85,00,000",,,,,8500000,0.85,b_thampi,bowler,539,862,26,9.6,5.79,6.811765
Manpreet Gony,,Bowler,Gujarat Lions,2017,"60,00,000",,,,,6000000,0.6,m_gony,bowler,925,1317,39,8.54,5.06,8.433333
Nathu Singh,,Bowler,Gujarat Lions,2017,"50,00,000",,,,,5000000,0.5,n_singh,bowler,25,18,1,4.32,4.8,9.6
Munaf Patel,,Bowler,Gujarat Lions,2017,"30,00,000",,,,,3000000,0.3,m_patel,bowler,1382,1733,82,7.52,7.12,23.733333
Tejas Singh Baroka,,Bowler,Gujarat Lions,2017,"10,00,000",,,,,1000000,0.1,t_baroka,bowler,21,33,0,9.43,0.0,0.0
Pratham Singh,,All-Rounder,Gujarat Lions,2017,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,311,472,11,9.11,4.24,42.4
T Natarajan,,Bowler,Kings XI Punjab,2017,"3,00,00,000",,,,,30000000,3.0,t_natarajan,bowler,1401,2001,76,8.57,6.51,2.17
Varun Aaron,,Bowler,Kings XI Punjab,2017,"2,80,00,000",,,,,28000000,2.8,v_aaron,bowler,1065,1527,46,8.6,5.18,1.85
Matt Henry,,Bowler,Kings XI Punjab,2017,"50,00,000",,,,,5000000,0.5,m_henry,bowler,105,183,3,10.46,3.43,6.86
Darren Sammy,,All-Rounder,Kings XI Punjab,2017,"30,00,000",,,,,3000000,0.3,d_sammy,allrounder,244,354,14,8.7,6.89,22.966667
Rahul Tewatia,,All-Rounder,Kings XI Punjab,2017,"25,00,000",,,,,2500000,0.25,r_tewatia,allrounder,866,1117,36,7.74,4.99,19.96
Trent Boult,,Bowler,Kolkata Knight Riders,2017,"5,00,00,000",,,,,50000000,5.0,t_boult,bowler,2428,3286,128,8.12,6.33,1.266
Chris Woakes,,All-Rounder,Kolkata Knight Riders,2017,"4,20,00,000",,,,,42000000,4.2,c_woakes,allrounder,463,674,31,8.73,8.03,1.911905
Nathan Coulter-Nile,,Bowler,Kolkata Knight Riders,2017,"3,50,00,000",,,,,35000000,3.5,n_coulter-nile,bowler,892,1125,52,7.57,7.0,2.0
Rishi Dhawan,,All-Rounder,Kolkata Knight Riders,2017,"55,00,000",,,,,5500000,0.55,r_dhawan,allrounder,693,922,27,7.98,4.68,8.509091
Rovman Powell,,All-Rounder,Kolkata Knight Riders,2017,"30,00,000",,,,,3000000,0.3,r_powell,allrounder,21,35,1,10.0,5.71,19.033333
R. Sanjay Yadav,,All-Rounder,Kolkata Knight Riders,2017,"10,00,000",,,,,1000000,0.1,r_yadav,allrounder,14,23,0,9.86,0.0,0.0
Karn Sharma,,All-Rounder,Mumbai Indians,2017,"3,20,00,000",,,,,32000000,3.2,k_sharma,allrounder,1520,2130,82,8.41,6.47,2.021875
Krishnappa Gowtham,,All-Rounder,Mumbai Indians,2017,"2,00,00,000",,,,,20000000,2.0,k_gowtham,allrounder,599,825,22,8.26,4.41,2.205
Mitchell Johnson,,Bowler,Mumbai Indians,2017,"2,00,00,000",,,,,20000000,2.0,m_johnson,bowler,1301,1740,66,8.02,6.09,3.045
Kulwant Khejroliya,,Bowler,Mumbai Indians,2017,"10,00,000",,,,,1000000,0.1,k_khejroliya,bowler,129,221,5,10.28,4.65,46.5
Benjamin Stokes,,All-Rounder,Rising Pune Supergiant,2017,"14,50,00,000",,,,,145000000,14.5,b_stokes,allrounder,723,1023,31,8.49,5.15,0.355172
Daniel Christian,,All-Rounder,Rising Pune Supergiant,2017,"1,00,00,000",,,,,10000000,1.0,d_christian,allrounder,922,1218,40,7.93,5.21,5.21
Lockie Ferguson ,,Bowler,Rising Pune Supergiant,2017,"50,00,000",,,,,5000000,0.5,l_ferguson,bowler,1002,1451,57,8.69,6.83,13.66
Jaydev Unadkat,,Bowler,Rising Pune Supergiant,2017,"30,00,000",,,,,3000000,0.3,j_unadkat,bowler,2194,3219,109,8.8,5.96,19.866667
Rahul Chahar,,Bowler,Rising Pune Supergiant,2017,"10,00,000",,,,,1000000,0.1,r_chahar,bowler,1697,2165,76,7.65,5.37,53.7
Saurabh Kumar,,Bowler,Rising Pune Supergiant,2017,"10,00,000",,,,,1000000,0.1,s_kumar,bowler,22,38,0,10.36,0.0,0.0
Rahul Ajay Tripathi,,All-Rounder,Rising Pune Supergiant,2017,"10,00,000",,,,,1000000,0.1,r_tripathi,allrounder,6,12,0,12.0,0.0,0.0
Tymal Mills,,Bowler, Royal Challengers Bengaluru,2017,"12,00,00,000",,,,,120000000,12.0,t_mills,bowler,218,349,11,9.61,6.06,0.505
Aniket Choudhary,,Bowler, Royal Challengers Bengaluru,2017,"2,00,00,000",,,,,20000000,2.0,a_choudhary,bowler,108,144,5,8.0,5.56,2.78
Pawan Negi,,All-Rounder, Royal Challengers Bengaluru,2017,"1,00,00,000",,,,,10000000,1.0,p_negi,allrounder,733,954,38,7.81,6.22,6.22
Billy Stanlake,,Bowler, Royal Challengers Bengaluru,2017,"30,00,000",,,,,3000000,0.3,b_stanlake,bowler,150,200,7,8.0,5.6,18.666667
Praveen Dubey,,All-Rounder, Royal Challengers Bengaluru,2017,"10,00,000",,,,,1000000,0.1,p_dubey,allrounder,67,91,1,8.15,1.79,17.9
Mohammed Siraj,,Bowler, Sunrisers Hyderabad,2017,"2,60,00,000",,,,,26000000,2.6,m_siraj,bowler,2081,2894,96,8.34,5.54,2.130769
Chris Jordan,,All-Rounder, Sunrisers Hyderabad,2017,"50,00,000",,,,,5000000,0.5,c_jordan,allrounder,717,1111,36,9.3,6.03,12.06
Mohammad Nabi,,All-Rounder, Sunrisers Hyderabad,2017,"30,00,000",,,,,3000000,0.3,m_nabi,allrounder,419,527,15,7.55,4.3,14.333333
Ben Laughlin,,Bowler, Sunrisers Hyderabad,2017,"30,00,000",,,,,3000000,0.3,b_laughlin,bowler,179,284,10,9.52,6.7,22.333333
Pravin Tambe,,Bowler, Sunrisers Hyderabad,2017,"10,00,000",,,,,1000000,0.1,p_tambe,bowler,674,866,28,7.71,4.99,49.9
Dwayne Bravo,,All-Rounder, Chennai Super Kings,2018,"6,40,00,000",,,,,64000000,6.4,d_bravo,allrounder,3296,4436,207,8.08,7.54,1.178125
Karn Sharma,,Bowler, Chennai Super Kings,2018,"5,00,00,000",,,,,50000000,5.0,k_sharma,bowler,1520,2130,82,8.41,6.47,1.294
Shane Watson,,All-Rounder, Chennai Super Kings,2018,"4,00,00,000",,,,,40000000,4.0,s_watson,allrounder,2137,2742,107,7.7,6.01,1.5025
Shardul Narendra Thakur,,Bowler, Chennai Super Kings,2018,"2,60,00,000",,,,,26000000,2.6,s_thakur,bowler,1979,2908,100,8.82,6.06,2.330769
Harbhajan Singh,,Bowler, Chennai Super Kings,2018,"2,00,00,000",,,,,20000000,2.0,h_singh,bowler,3496,4101,161,7.04,5.53,2.765
Harbhajan Singh,,Bowler, Chennai Super Kings,2018,"2,00,00,000",,,,,20000000,2.0,h_singh,bowler,574,747,31,7.81,6.48,3.24
Mark Wood,,Bowler, Chennai Super Kings,2018,"1,50,00,000",,,,,15000000,1.5,m_wood,bowler,127,192,11,9.07,10.39,6.926667
Imran Tahir,,Bowler, Chennai Super Kings,2018,"1,00,00,000",,,,,10000000,1.0,i_tahir,bowler,1340,1729,86,7.74,7.7,7.7
Deepak Chahar,,All-Rounder, Chennai Super Kings,2018,"80,00,000",,,,,8000000,0.8,d_chahar,allrounder,1746,2243,79,7.71,5.43,6.7875
Mitchell Santner,,All-Rounder, Chennai Super Kings,2018,"50,00,000",,,,,5000000,0.5,m_santner,allrounder,370,428,16,6.94,5.19,10.38
Lungisani Ngidi,,Bowler, Chennai Super Kings,2018,"50,00,000",,,,,5000000,0.5,l_ngidi,bowler,342,460,28,8.07,9.82,19.64
Monu Singh,,Bowler, Chennai Super Kings,2018,"20,00,000",,,,,2000000,0.2,m_singh,bowler,12,26,0,13.0,0.0,0.0
Kshitiz Sharma,,All-Rounder, Chennai Super Kings,2018,"20,00,000",,,,,2000000,0.2,k_sharma,allrounder,1520,2130,82,8.41,6.47,32.35
Glenn Maxwell,,All-Rounder,Delhi Daredevils,2018,"9,00,00,000",,,,,90000000,9.0,g_maxwell,allrounder,965,1311,41,8.15,5.1,0.566667
Kagiso Rabada,,Bowler,Delhi Daredevils,2018,"4,20,00,000",,,,,42000000,4.2,k_rabada,bowler,1907,2652,126,8.34,7.93,1.888095
Amit Mishra,,Bowler,Delhi Daredevils,2018,"4,00,00,000",,,,,40000000,4.0,a_mishra,bowler,3444,4193,183,7.3,6.38,1.595
Shahbaz Nadeem,,Bowler,Delhi Daredevils,2018,"3,20,00,000",,,,,32000000,3.2,s_nadeem,bowler,1444,1800,54,7.48,4.49,1.403125
Vijay Shankar,,All-Rounder,Delhi Daredevils,2018,"3,20,00,000",,,,,32000000,3.2,v_shankar,allrounder,258,344,12,8.0,5.58,1.74375
Rahul Tewatia,,All-Rounder,Delhi Daredevils,2018,"3,00,00,000",,,,,30000000,3.0,r_tewatia,allrounder,866,1117,36,7.74,4.99,1.663333
Mohammad Shami,,Bowler,Delhi Daredevils,2018,"3,00,00,000",,,,,30000000,3.0,m_shami,bowler,2521,3486,144,8.3,6.85,2.283333
Trent Boult,,Bowler,Delhi Daredevils,2018,"2,20,00,000",,,,,22000000,2.2,t_boult,bowler,2428,3286,128,8.12,6.33,2.877273
Colin Munro,,All-Rounder,Delhi Daredevils,2018,"1,90,00,000",,,,,19000000,1.9,c_munro,allrounder,12,15,0,7.5,0.0,0.0
Daniel Christian,,All-Rounder,Delhi Daredevils,2018,"1,50,00,000",,,,,15000000,1.5,d_christian,allrounder,922,1218,40,7.93,5.21,3.473333
Avesh Khan,,Bowler,Delhi Daredevils,2018,"70,00,000",,,,,7000000,0.7,a_khan,bowler,6,13,0,13.0,0.0,0.0
Avesh Khan,,Bowler,Delhi Daredevils,2018,"70,00,000",,,,,7000000,0.7,a_khan,bowler,153,282,6,11.06,4.71,6.728571
Avesh Khan,,Bowler,Delhi Daredevils,2018,"70,00,000",,,,,7000000,0.7,a_khan,bowler,1390,2010,81,8.68,6.99,9.985714
Abhishek Sharma,,All-Rounder,Delhi Daredevils,2018,"55,00,000",,,,,5500000,0.55,a_sharma,allrounder,278,396,11,8.55,4.75,8.636364
Abhishek Sharma,,All-Rounder,Delhi Daredevils,2018,"55,00,000",,,,,5500000,0.55,a_sharma,allrounder,375,453,12,7.25,3.84,6.981818
Jayant Yadav,,All-Rounder,Delhi Daredevils,2018,"50,00,000",,,,,5000000,0.5,j_yadav,allrounder,398,447,9,6.74,2.71,5.42
Harshal Patel,,All-Rounder,Delhi Daredevils,2018,"20,00,000",,,,,2000000,0.2,h_patel,allrounder,2284,3215,151,8.45,7.93,39.65
Sandeep Lamichhane,,Bowler,Delhi Daredevils,2018,"20,00,000",,,,,2000000,0.2,s_lamichhane,bowler,211,297,14,8.45,7.96,39.8
Ravichandran Ashwin,,All-Rounder,Kings XI Punjab,2018,"7,60,00,000",,,,,76000000,7.6,r_ashwin,allrounder,4679,5435,198,6.97,5.08,0.668421
Andrew Tye,,Bowler,Kings XI Punjab,2018,"7,20,00,000",,,,,72000000,7.2,a_tye,bowler,714,1005,48,8.45,8.07,1.120833
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2018,"6,20,00,000",,,,,62000000,6.2,m_stoinis,allrounder,831,1300,45,9.39,6.5,1.048387
Ankit Singh Rajpoot,,Bowler,Kings XI Punjab,2018,"3,00,00,000",,,,,30000000,3.0,a_rajpoot,bowler,567,844,24,8.93,5.08,1.693333
Mohit Sharma,,Bowler,Kings XI Punjab,2018,"2,40,00,000",,,,,24000000,2.4,m_sharma,bowler,2308,3278,147,8.52,7.64,3.183333
Barinder Singh Sran,,Bowler,Kings XI Punjab,2018,"2,20,00,000",,,,,22000000,2.2,b_sran,bowler,516,767,20,8.92,4.65,2.113636
Yuvraj Singh,,All-Rounder,Kings XI Punjab,2018,"2,00,00,000",,,,,20000000,2.0,y_singh,allrounder,74,125,4,10.14,6.49,3.245
Yuvraj Singh,,All-Rounder,Kings XI Punjab,2018,"2,00,00,000",,,,,20000000,2.0,y_singh,allrounder,882,1091,39,7.42,5.31,2.655
Pardeep Sahu,,Bowler,Kings XI Punjab,2018,"20,00,000",,,,,2000000,0.2,p_sahu,bowler,107,152,3,8.52,3.36,16.8
Mayank Dagar,,All-Rounder,Kings XI Punjab,2018,"20,00,000",,,,,2000000,0.2,m_dagar,allrounder,138,205,2,8.91,1.74,8.7
Mitchell Starc,,Bowler, Kolkata Knight Riders,2018,"9,40,00,000",,,,,94000000,9.4,m_starc,bowler,879,1175,59,8.02,8.05,0.856383
Kuldeep Singh Yadav,,Bowler, Kolkata Knight Riders,2018,"5,80,00,000",,,,,58000000,5.8,k_yadav,bowler,54,85,2,9.44,4.44,0.765517
Kuldeep Singh Yadav,,Bowler, Kolkata Knight Riders,2018,"5,80,00,000",,,,,58000000,5.8,k_yadav,bowler,1786,2413,90,8.11,6.05,1.043103
Piyush Chawla,,Bowler, Kolkata Knight Riders,2018,"4,20,00,000",,,,,42000000,4.2,p_chawla,bowler,3895,5179,201,7.98,6.19,1.47381
Nitish Rana,,All-Rounder, Kolkata Knight Riders,2018,"3,40,00,000",,,,,34000000,3.4,n_rana,allrounder,185,253,10,8.21,6.49,1.908824
Kamlesh Nagarkoti,,All-Rounder, Kolkata Knight Riders,2018,"3,20,00,000",,,,,32000000,3.2,k_nagarkoti,allrounder,185,287,5,9.31,3.24,1.0125
Shivam Mavi,,All-Rounder, Kolkata Knight Riders,2018,"3,00,00,000",,,,,30000000,3.0,s_mavi,allrounder,687,958,33,8.37,5.76,1.92
Mitchell Johnson,,Bowler, Kolkata Knight Riders,2018,"2,00,00,000",,,,,20000000,2.0,m_johnson,bowler,1301,1740,66,8.02,6.09,3.045
