bowler,balls_bowled,runs_conceded,wickets,economy,wickets_per_match,match_key
A Ashish Reddy,270,400,19,8.89,8.44,a_reddy
A Badoni,25,37,2,8.88,9.6,a_badoni
A Chandila,234,245,11,6.28,5.64,a_chandila
A Choudhary,108,144,5,8.0,5.56,a_choudhary
A Dananjaya,25,47,0,11.28,0.0,a_dananjaya
A Flintoff,66,106,2,9.64,3.64,a_flintoff
A Kamboj,68,115,2,10.15,3.53,a_kamboj
A Kumble,983,1089,49,6.65,5.98,a_kumble
A Mishra,3444,4193,183,7.3,6.38,a_mishra
A Mithun,312,477,8,9.17,3.08,a_mithun
A Nehra,1974,2537,121,7.71,7.36,a_nehra
A Nel,18,31,1,10.33,6.67,a_nel
A Nortje,1097,1614,62,8.83,6.78,a_nortje
A Singh,486,639,31,7.89,7.65,a_singh
A Symonds,540,694,23,7.71,5.11,a_symonds
A Uniyal,38,67,3,10.58,9.47,a_uniyal
A Zampa,425,562,30,7.93,8.47,a_zampa
AA Chavan,255,339,8,7.98,3.76,a_chavan
AA Jhunjhunwala,88,130,1,8.86,1.36,a_jhunjhunwala
AA Kazi,13,21,1,9.69,9.23,a_kazi
AA Noffke,25,41,1,9.84,4.8,a_noffke
AB Agarkar,820,1174,33,8.59,4.83,a_agarkar
AB Dinda,1589,2103,82,7.94,6.19,a_dinda
AB McDonald,188,263,14,8.39,8.94,a_mcdonald
AC Gilchrist,1,0,1,0.0,120.0,a_gilchrist
AC Thomas,327,416,16,7.63,5.87,a_thomas
AC Voges,56,76,1,8.14,2.14,a_voges
AD Mascarenhas,310,365,19,7.06,7.35,a_mascarenhas
AD Mathews,807,1095,28,8.14,4.16,a_mathews
AD Russell,1771,2691,125,9.12,8.47,a_russell
AF Milne,217,339,9,9.37,4.98,a_milne
AG Murtaza,269,322,12,7.18,5.35,a_murtaza
AJ Finch,44,67,1,9.14,2.73,a_finch
AJ Hosein,24,41,1,10.25,5.0,a_hosein
AJ Tye,714,1005,48,8.45,8.07,a_tye
AK Markram,123,173,2,8.44,1.95,a_markram
AL Menaria,113,144,3,7.65,3.19,a_menaria
AM Nayar,239,323,9,8.11,4.52,a_nayar
AM Rahane,6,5,1,5.0,20.0,a_rahane
AM Salvi,156,205,7,7.88,5.38,a_salvi
AN Ahmed,362,515,15,8.54,4.97,a_ahmed
AP Dole,73,114,5,9.37,8.22,a_dole
AR Patel,3152,3824,131,7.28,4.99,a_patel
AS Joseph,454,707,22,9.34,5.81,a_joseph
AS Rajpoot,567,844,24,8.93,5.08,a_rajpoot
AS Raut,30,45,0,9.0,0.0,a_raut
AS Roy,142,191,6,8.07,5.07,a_roy
AU Rashid,60,91,2,9.1,4.0,a_rashid
AUK Pathan,41,63,0,9.22,0.0,a_pathan
Abdul Samad,55,113,2,12.33,4.36,a_samad
Abdur Razzak,14,29,0,12.43,0.0,a_razzak
Abhishek Sharma,278,396,11,8.55,4.75,a_sharma
Akash Deep,175,324,8,11.11,5.49,a_deep
Akash Madhwal,279,431,22,9.27,9.46,a_madhwal
Akash Singh,141,227,5,9.66,4.26,a_singh
Aman Hakim Khan,6,13,0,13.0,0.0,a_khan
Anand Rajan,162,206,10,7.63,7.41,a_rajan
Ankit Sharma,375,453,12,7.25,3.84,a_sharma
Ankit Soni,112,145,4,7.77,4.29,a_soni
Anureet Singh,430,636,21,8.87,5.86,a_singh
Arjun Tendulkar,83,117,4,8.46,5.78,a_tendulkar
Arshad Khan,153,282,6,11.06,4.71,a_khan
Arshad Khan (2),13,25,0,11.54,0.0,a_(2)
Arshdeep Singh,1453,2097,84,8.66,6.94,a_singh
Atharva Taide,1,4,0,24.0,0.0,a_taide
Avesh Khan,1390,2010,81,8.68,6.99,a_khan
Azhar Mahmood,552,707,31,7.68,6.74,a_mahmood
Azmatullah Omarzai,131,194,4,8.89,3.66,a_omarzai
B Akhil,193,246,7,7.65,4.35,b_akhil
B Chipli,6,20,0,20.0,0.0,b_chipli
B Geeves,49,91,2,11.14,4.9,b_geeves
B Kumar,4060,5051,195,7.46,5.76,b_kumar
B Laughlin,179,284,10,9.52,6.7,b_laughlin
B Lee,916,1126,30,7.38,3.93,b_lee
B Stanlake,150,200,7,8.0,5.6,b_stanlake
BA Bhatt,303,408,13,8.08,5.15,b_bhatt
BA Stokes,723,1023,31,8.49,5.15,b_stokes
BAW Mendis,248,306,9,7.4,4.35,b_mendis
BB Sran,516,767,20,8.92,4.65,b_sran
BCJ Cutting,288,430,12,8.96,5.0,b_cutting
BE Hendricks,157,239,11,9.13,8.41,b_hendricks
BJ Hodge,238,310,18,7.82,9.08,b_hodge
BJ Rohrer,7,12,0,10.29,0.0,b_rohrer
BMAJ Mendis,30,36,1,7.2,4.0,b_mendis
BW Hilfenhaus,390,497,23,7.65,7.08,b_hilfenhaus
Basil Thampi,539,862,26,9.6,5.79,b_thampi
Bipul Sharma,436,581,22,8.0,6.06,b_sharma
C Ganapathy,6,13,0,13.0,0.0,c_ganapathy
C Green,462,675,20,8.77,5.19,c_green
C Munro,12,15,0,7.5,0.0,c_munro
C Nanda,50,58,2,6.96,4.8,c_nanda
C Sakariya,460,610,20,7.96,5.22,c_sakariya
C de Grandhomme,230,323,7,8.43,3.65,c_grandhomme
CH Gayle,584,755,19,7.76,3.9,c_gayle
CH Morris,1801,2377,107,7.92,7.13,c_morris
CJ Anderson,315,525,14,10.0,5.33,c_anderson
CJ Dala,19,34,0,10.74,0.0,c_dala
CJ Green,17,24,0,8.47,0.0,c_green
CJ Jordan,717,1111,36,9.3,6.03,c_jordan
CJ McKay,42,60,1,8.57,2.86,c_mckay
CK Kapugedera,17,49,0,17.29,0.0,c_kapugedera
CK Langeveldt,165,199,13,7.24,9.45,c_langeveldt
CL White,46,86,1,11.22,2.61,c_white
CR Brathwaite,266,384,16,8.66,7.22,c_brathwaite
CR Woakes,463,674,31,8.73,8.03,c_woakes
CRD Fernando,249,306,19,7.37,9.16,c_fernando
CV Varun,1624,2042,85,7.54,6.28,c_varun
D Brevis,3,8,1,16.0,40.0,d_brevis
D Jansen,28,53,1,11.36,4.29,d_jansen
D Kalyankrishna,50,88,2,10.56,4.8,d_kalyankrishna
D Pretorius,166,242,7,8.75,5.06,d_pretorius
D Salunkhe,51,80,1,9.41,2.35,d_salunkhe
D Wiese,307,447,17,8.74,6.64,d_wiese
D du Preez,43,56,4,7.81,11.16,d_preez
DA Warner,2,2,0,6.0,0.0,d_warner
DAJ Bracewell,25,32,3,7.68,14.4,d_bracewell
DB Ravi Teja,18,28,1,9.33,6.67,d_teja
DE Bollinger,600,716,43,7.16,8.6,d_bollinger
DG Nalkande,89,150,6,10.11,8.09,d_nalkande
DJ Bravo,3296,4436,207,8.08,7.54,d_bravo
DJ Harris,18,26,0,8.67,0.0,d_harris
DJ Hooda,384,535,10,8.36,3.12,d_hooda
DJ Hussey,323,485,10,9.01,3.72,d_hussey
DJ Mitchell,51,97,1,11.41,2.35,d_mitchell
DJ Muthuswami,84,108,4,7.71,5.71,d_muthuswami
DJ Thornely,44,40,3,5.45,8.18,d_thornely
DJ Willey,221,277,7,7.52,3.8,d_willey
DJG Sammy,244,354,14,8.7,6.89,d_sammy
DJM Short,18,23,1,7.67,6.67,d_short
DL Chahar,1746,2243,79,7.71,5.43,d_chahar
DL Vettori,785,894,34,6.83,5.2,d_vettori
DNT Zoysa,69,100,2,8.7,3.48,d_zoysa
DP Nannes,689,815,38,7.1,6.62,d_nannes
DP Vijaykumar,159,205,4,7.74,3.02,d_vijaykumar
DR Sams,389,528,15,8.14,4.63,d_sams
DR Smith,557,825,27,8.89,5.82,d_smith
DS Kulkarni,1876,2513,91,8.04,5.82,d_kulkarni
DT Christian,922,1218,40,7.93,5.21,d_christian
DW Steyn,2282,2583,105,6.79,5.52,d_steyn
F du Plessis,6,16,0,16.0,0.0,f_plessis
FA Allen,91,136,2,8.97,2.64,f_allen
FH Edwards,150,160,6,6.4,4.8,f_edwards
FY Fazal,12,20,1,10.0,10.0,f_fazal
Fazalhaq Farooqi,162,229,6,8.48,4.44,f_farooqi
G Coetzee,216,357,13,9.92,7.22,g_coetzee
GB Hogg,466,585,25,7.53,6.44,g_hogg
GC Viljoen,146,229,8,9.41,6.58,g_viljoen
GD McGrath,329,366,14,6.67,5.11,g_mcgrath
GD Phillips,31,40,2,7.74,7.74,g_phillips
GH Vihari,43,48,1,6.7,2.79,g_vihari
GHS Garton,97,136,3,8.41,3.71,g_garton
GJ Maxwell,965,1311,41,8.15,5.1,g_maxwell
GR Napier,24,28,1,7.0,5.0,g_napier
GS Sandhu,48,86,1,10.75,2.5,g_sandhu
Gagandeep Singh,84,142,3,10.14,4.29,g_singh
Gulbadin Naib,6,12,0,12.0,0.0,g_naib
Gurkeerat Singh,82,97,5,7.1,7.32,g_singh
Gurnoor Brar,21,42,0,12.0,0.0,g_brar
H Sharma,30,62,0,12.4,0.0,h_sharma
HF Gurney,169,239,7,8.49,4.97,h_gurney
HH Pandya,1485,2196,70,8.87,5.66,h_pandya
HR Shokeen,213,320,5,9.01,2.82,h_shokeen
HV Patel,2284,3215,151,8.45,7.93,h_patel
Harbhajan Singh,3496,4101,161,7.04,5.53,h_singh
Harmeet Singh,574,747,31,7.81,6.48,h_singh
Harpreet Brar,692,907,25,7.86,4.34,h_brar
Harshit Rana,403,590,27,8.78,8.04,h_rana
I Malhotra,6,23,0,23.0,0.0,i_malhotra
I Sharma,2429,3255,96,8.04,4.74,i_sharma
I Udana,182,286,8,9.43,5.27,i_udana
IC Pandey,469,609,19,7.79,4.86,i_pandey
IC Porel,26,42,1,9.69,4.62,i_porel
IK Pathan,2113,2711,99,7.7,5.62,i_pathan
IS Sodhi,182,204,9,6.73,5.93,i_sodhi
Imran Tahir,1340,1729,86,7.74,7.7,i_tahir
Iqbal Abdulla,943,1125,45,7.16,5.73,i_abdulla
J Botha,709,818,27,6.92,4.57,j_botha
J Little,236,341,13,8.67,6.61,j_little
J Suchith,434,604,20,8.35,5.53,j_suchith
J Syed Mohammad,196,286,10,8.76,6.12,j_mohammad
J Theron,235,311,13,7.94,6.64,j_theron
J Yadav,398,447,9,6.74,2.71,j_yadav
JA Morkel,1807,2409,96,8.0,6.38,j_morkel
JA Richardson,94,162,3,10.34,3.83,j_richardson
JC Archer,987,1210,49,7.36,5.96,j_archer
JD Ryder,241,314,11,7.82,5.48,j_ryder
JD Unadkat,2194,3219,109,8.8,5.96,j_unadkat
JDP Oram,244,362,13,8.9,6.39,j_oram
JDS Neesham,222,342,8,9.24,4.32,j_neesham
JE Root,12,15,0,7.5,0.0,j_root
JE Taylor,122,167,6,8.21,5.9,j_taylor
JEC Franklin,155,225,9,8.71,6.97,j_franklin
JH Kallis,1799,2348,74,7.83,4.94,j_kallis
JJ Bumrah,3185,3840,182,7.23,6.86,j_bumrah
JJ van der Wath,76,134,3,10.58,4.74,j_wath
JL Pattinson,222,321,11,8.68,5.95,j_pattinson
JM Kemp,47,58,3,7.4,7.66,j_kemp
JO Holder,1049,1489,59,8.52,6.75,j_holder
JP Behrendorff,379,563,22,8.91,6.97,j_behrendorff
JP Duminy,701,847,23,7.25,3.94,j_duminy
JP Faulkner,1287,1849,76,8.62,7.09,j_faulkner
JPR Scantlebury-Searles,45,89,2,11.87,5.33,j_scantlebury-searles
JR Hazlewood,622,830,36,8.01,6.95,j_hazlewood
JR Hopes,369,562,14,9.14,4.55,j_hopes
JW Hastings,61,66,3,6.49,5.9,j_hastings
Jalaj S Saxena,18,27,0,9.0,0.0,j_saxena
Jaskaran Singh,111,174,6,9.41,6.49,j_singh
Joginder Sharma,272,421,13,9.29,5.74,j_sharma
K Goel,67,94,0,8.42,0.0,k_goel
K Gowtham,599,825,22,8.26,4.41,k_gowtham
K Kartikeya,241,334,10,8.32,4.98,k_kartikeya
K Khejroliya,129,221,5,10.28,4.65,k_khejroliya
K Rabada,1907,2652,126,8.34,7.93,k_rabada
K Santokie,51,91,3,10.71,7.06,k_santokie
K Upadhyay,56,81,0,8.68,0.0,k_upadhyay
K Yadav,54,85,2,9.44,4.44,k_yadav
KA Jamieson,179,271,9,9.08,6.03,k_jamieson
KA Maharaj,36,39,2,6.5,6.67,k_maharaj
KA Pollard,1586,2200,81,8.32,6.13,k_pollard
KAJ Roach,52,80,0,9.23,0.0,k_roach
KC Cariappa,224,349,8,9.35,4.29,k_cariappa
KH Pandya,2183,2644,80,7.27,4.4,k_pandya
KJ Abbott,102,182,2,10.71,2.35,k_abbott
KK Ahmed,1345,1918,78,8.56,6.96,k_ahmed
KK Cooper,600,789,36,7.89,7.2,k_cooper
KL Nagarkoti,185,287,5,9.31,3.24,k_nagarkoti
KM Asif,143,232,7,9.73,5.87,k_asif
KMA Paul,180,239,10,7.97,6.67,k_paul
KMDN Kulasekara,107,122,6,6.84,6.73,k_kulasekara
KP Appanna,222,291,11,7.86,5.95,k_appanna
KP Pietersen,180,218,9,7.27,6.0,k_pietersen
KR Mayers,46,59,0,7.7,0.0,k_mayers
KR Sen,255,396,14,9.32,6.59,k_sen
KS Williamson,18,31,0,10.33,0.0,k_williamson
KT Maphaka,39,90,1,13.85,3.08,k_maphaka
KV Sharma,1520,2130,82,8.41,6.47,k_sharma
KW Richardson,345,479,21,8.33,7.3,k_richardson
Kamran Khan,177,248,14,8.41,9.49,k_khan
Karanveer Singh,213,323,14,9.1,7.89,k_singh
Kartik Tyagi,458,720,16,9.43,4.19,k_tyagi
Kuldeep Yadav,1786,2413,90,8.11,6.05,k_yadav
L Ablish,45,76,5,10.13,13.33,l_ablish
L Balaji,1574,2083,85,7.94,6.48,l_balaji
L Ngidi,342,460,28,8.07,9.82,l_ngidi
L Wood,38,94,1,14.84,3.16,l_wood
LA Carseldine,7,6,1,5.14,17.14,l_carseldine
LB Williams,42,74,1,10.57,2.86,l_williams
LE Plunkett,154,228,4,8.88,3.12,l_plunkett
LH Ferguson,1002,1451,57,8.69,6.83,l_ferguson
LI Meriwala,19,32,1,10.11,6.32,l_meriwala
LJ Wright,75,125,2,10.0,3.2,l_wright
LMP Simmons,18,34,1,11.33,6.67,l_simmons
LPC Silva,6,21,0,21.0,0.0,l_silva
LR Shukla,326,458,17,8.43,6.26,l_shukla
LRPL Taylor,13,24,0,11.08,0.0,l_taylor
LS Livingstone,267,395,11,8.88,4.94,l_livingstone
Lalit Yadav,294,430,11,8.78,4.49,l_yadav
M Ashwin,898,1182,35,7.9,4.68,m_ashwin
M Jansen,487,732,22,9.02,5.42,m_jansen
M Kartik,1182,1418,39,7.2,3.96,m_kartik
M Manhas,42,42,0,6.0,0.0,m_manhas
M Markande,737,1081,37,8.8,6.02,m_markande
M Morkel,1699,2136,88,7.54,6.22,m_morkel
